id,odor,gill-attachment,ring-number,ring-type
217,a,f,o,p
218,a,f,o,p
219,l,f,o,p
220,n,f,o,p
221,a,f,o,p
222,p,f,o,p
223,a,f,o,p
224,a,f,o,p
225,l,f,o,p
226,l,f,o,p
227,a,f,o,p
228,a,f,o,p
229,p,f,o,p
230,a,f,o,p
231,n,f,o,p
232,p,f,o,p
233,l,f,o,p
234,n,f,o,p
235,l,f,o,p
236,l,f,o,p
237,l,f,o,p
238,l,f,o,p
239,l,f,o,p
240,a,f,o,p
241,a,f,o,p
242,l,f,o,p
243,a,f,o,p
244,p,f,o,p
245,a,f,o,p
246,l,f,o,p
247,l,f,o,p
248,a,f,o,p
249,l,f,o,p
250,n,f,o,e
251,a,f,o,p
252,p,f,o,p
253,n,f,o,p
254,l,f,o,p
255,l,f,o,p
256,l,f,o,p
257,n,f,o,p
258,a,f,o,p
259,l,f,o,p
260,a,f,o,p
261,l,f,o,p
262,p,f,o,p
263,a,f,o,p
264,a,f,o,p
265,l,f,o,p
266,n,f,o,p
267,n,f,o,e
268,a,f,o,p
269,a,f,o,p
270,p,f,o,p
271,l,f,o,p
272,p,f,o,p
273,l,f,o,p
274,a,f,o,p
275,a,f,o,p
276,a,f,o,p
277,a,f,o,p
278,a,f,o,p
279,n,f,o,e
280,l,f,o,p
281,p,f,o,p
282,a,f,o,p
283,n,f,o,p
284,l,f,o,p
285,l,f,o,p
286,a,f,o,p
287,a,f,o,p
288,a,f,o,p
289,l,f,o,p
290,n,f,o,p
291,n,f,o,p
292,l,f,o,p
293,l,f,o,p
294,l,f,o,p
295,a,f,o,p
296,a,f,o,p
297,a,f,o,p
298,n,f,o,e
299,a,f,o,p
300,p,f,o,p
301,n,f,o,e
302,a,f,o,p
303,l,f,o,p
304,a,f,o,p
305,l,f,o,p
306,n,f,o,p
307,l,f,o,p
308,l,f,o,p
309,a,f,o,p
310,n,f,o,e
311,l,f,o,p
312,p,f,o,p
313,l,f,o,p
314,a,f,o,p
315,a,f,o,p
316,p,f,o,p
317,a,f,o,p
318,a,f,o,p
319,l,f,o,p
320,l,f,o,p
321,l,f,o,p
322,a,f,o,p
323,a,f,o,p
324,a,f,o,p
325,l,f,o,p
326,l,f,o,p
327,a,f,o,p
328,p,f,o,p
329,l,f,o,p
330,a,f,o,p
331,p,f,o,p
332,l,f,o,p
333,l,f,o,p
334,a,f,o,p
335,l,f,o,p
336,n,f,o,p
337,a,f,o,p
338,l,f,o,p
339,n,f,o,p
340,l,f,o,p
341,a,f,o,p
342,a,f,o,p
343,a,f,o,p
344,a,f,o,p
345,l,f,o,p
346,n,f,o,e
347,l,f,o,p
348,a,f,o,p
349,n,f,o,e
350,n,f,o,p
351,n,f,o,e
352,a,f,o,p
353,a,f,o,p
354,a,f,o,p
355,l,f,o,p
356,n,f,o,p
357,a,f,o,p
358,p,f,o,p
359,a,f,o,p
360,a,f,o,p
361,n,f,o,e
362,n,f,o,e
363,n,f,o,e
364,a,f,o,p
365,a,f,o,p
366,n,f,o,p
367,a,f,o,p
368,a,f,o,p
369,a,f,o,p
370,n,f,o,e
371,a,f,o,p
372,l,f,o,p
373,a,f,o,p
374,n,f,o,p
375,a,f,o,p
376,l,f,o,p
377,n,f,o,p
378,l,f,o,p
379,l,f,o,p
380,a,f,o,p
381,p,f,o,p
382,n,f,o,e
383,a,f,o,p
384,a,f,o,p
385,n,f,o,p
386,p,f,o,p
387,l,f,o,p
388,n,f,o,e
389,l,f,o,p
390,a,f,o,p
391,a,f,o,p
392,l,f,o,p
393,a,f,o,p
394,n,f,o,p
395,a,f,o,p
396,n,f,o,e
397,l,f,o,p
398,l,f,o,p
399,n,f,o,p
400,p,f,o,p
401,l,f,o,p
402,a,f,o,p
403,p,f,o,p
404,l,f,o,p
405,l,f,o,p
406,l,f,o,p
407,l,f,o,p
408,a,f,o,p
409,a,f,o,p
410,l,f,o,p
411,a,f,o,p
412,n,f,o,e
413,l,f,o,p
414,l,f,o,p
415,p,f,o,p
416,a,f,o,p
417,l,f,o,p
418,p,f,o,p
419,l,f,o,p
420,n,f,o,e
421,l,f,o,p
422,a,f,o,p
423,p,f,o,p
424,l,f,o,p
425,l,f,o,p
426,a,f,o,p
427,a,f,o,p
428,a,f,o,p
429,n,f,o,e
430,n,f,o,p
431,a,f,o,p
432,l,f,o,p
433,l,f,o,p
434,l,f,o,p
435,l,f,o,p
436,a,f,o,p
437,a,f,o,p
438,l,f,o,p
439,l,f,o,p
440,a,f,o,p
441,l,f,o,p
442,l,f,o,p
443,a,f,o,p
444,l,f,o,p
445,l,f,o,p
446,l,f,o,p
447,l,f,o,p
448,l,f,o,p
449,l,f,o,p
450,n,f,o,p
451,l,f,o,p
452,l,f,o,p
453,l,f,o,p
454,l,f,o,p
455,l,f,o,p
456,n,f,o,e
457,a,f,o,p
458,l,f,o,p
459,a,f,o,p
460,a,f,o,p
461,a,f,o,p
462,l,f,o,p
463,a,f,o,p
464,a,f,o,p
465,n,f,o,p
466,a,f,o,p
467,a,f,o,p
468,l,f,o,p
469,l,f,o,p
470,a,f,o,p
471,l,f,o,p
472,a,f,o,p
473,a,f,o,p
474,n,f,o,p
475,l,f,o,p
476,n,f,o,p
477,n,f,o,p
478,a,f,o,p
479,a,f,o,p
480,l,f,o,p
481,a,f,o,p
482,l,f,o,p
483,l,f,o,p
484,n,f,o,p
485,a,f,o,p
486,a,f,o,p
487,l,f,o,p
488,n,f,o,p
489,l,f,o,p
490,a,f,o,p
491,a,f,o,p
492,p,f,o,p
493,p,f,o,p
494,l,f,o,p
495,a,f,o,p
496,a,f,o,p
497,n,f,o,e
498,a,f,o,p
499,a,f,o,p
500,l,f,o,p
501,a,f,o,p
502,a,f,o,p
503,l,f,o,p
504,a,f,o,p
505,a,f,o,p
506,p,f,o,p
507,n,f,o,e
508,n,f,o,e
509,a,f,o,p
510,n,f,o,p
511,n,f,o,p
512,a,f,o,p
513,a,f,o,p
514,n,f,o,p
515,n,f,o,p
516,n,f,o,e
517,l,f,o,p
518,a,f,o,p
519,l,f,o,p
520,a,f,o,p
521,l,f,o,p
522,l,f,o,p
523,a,f,o,p
524,p,f,o,p
525,n,f,o,p
526,l,f,o,p
527,a,f,o,p
528,a,f,o,p
529,n,f,o,p
530,a,f,o,p
531,a,f,o,p
532,a,f,o,p
533,p,f,o,p
534,l,f,o,p
535,p,f,o,p
536,n,f,o,e
537,a,f,o,p
538,n,f,o,p
539,l,f,o,p
540,a,f,o,p
541,a,f,o,p
542,n,f,o,e
543,p,f,o,p
544,a,f,o,p
545,n,f,o,e
546,a,f,o,p
547,l,f,o,p
548,n,f,o,p
549,l,f,o,p
550,a,f,o,p
551,n,f,o,p
552,n,f,o,e
553,l,f,o,p
554,l,f,o,p
555,l,f,o,p
556,a,f,o,p
557,p,f,o,p
558,l,f,o,p
559,l,f,o,p
560,a,f,o,p
561,a,f,o,p
562,a,f,o,p
563,a,f,o,p
564,n,f,o,e
565,a,f,o,p
566,p,f,o,p
567,a,f,o,p
568,n,f,o,e
569,p,f,o,p
570,a,f,o,p
571,a,f,o,p
572,l,f,o,p
573,a,f,o,p
574,l,f,o,p
575,a,f,o,p
576,l,f,o,p
577,n,f,o,p
578,l,f,o,p
579,l,f,o,p
580,p,f,o,p
581,a,f,o,p
582,a,f,o,p
583,l,f,o,p
584,a,f,o,p
585,a,f,o,p
586,a,f,o,p
587,n,f,o,p
588,n,f,o,p
589,n,f,o,p
590,a,f,o,p
591,p,f,o,p
592,n,f,o,e
593,l,f,o,p
594,p,f,o,p
595,a,f,o,p
596,p,f,o,p
597,l,f,o,p
598,l,f,o,p
599,p,f,o,p
600,p,f,o,p
601,n,f,o,e
602,l,f,o,p
603,n,f,o,e
604,l,f,o,p
605,l,f,o,p
606,a,f,o,p
607,n,f,o,e
608,a,f,o,p
609,l,f,o,p
610,n,f,o,p
611,n,f,o,e
612,n,f,o,e
613,n,f,o,e
614,p,f,o,p
615,l,f,o,p
616,l,f,o,p
617,n,f,o,e
618,l,f,o,p
619,a,f,o,p
620,n,f,o,p
621,l,f,o,p
622,l,f,o,p
623,l,f,o,p
624,a,f,o,p
625,n,f,o,p
626,l,f,o,p
627,l,f,o,p
628,n,f,o,p
629,a,f,o,p
630,a,f,o,p
631,n,f,o,e
632,a,f,o,p
633,n,f,o,p
634,l,f,o,p
635,a,f,o,p
636,a,f,o,p
637,a,f,o,p
638,l,f,o,p
639,n,f,o,e
640,a,f,o,p
641,l,f,o,p
642,a,f,o,p
643,l,f,o,p
644,a,f,o,p
645,l,f,o,p
646,l,f,o,p
647,a,f,o,p
648,l,f,o,p
649,a,f,o,p
650,l,f,o,p
651,a,f,o,p
652,l,f,o,p
653,a,f,o,p
654,p,f,o,p
655,p,f,o,p
656,l,f,o,p
657,n,f,o,e
658,a,f,o,p
659,l,f,o,p
660,n,f,o,p
661,a,f,o,p
662,l,f,o,p
663,p,f,o,p
664,p,f,o,p
665,l,f,o,p
666,a,f,o,p
667,a,f,o,p
668,l,f,o,p
669,l,f,o,p
670,a,f,o,p
671,a,f,o,p
672,n,f,o,p
673,n,f,o,e
674,l,f,o,p
675,l,f,o,p
676,n,f,o,p
677,n,f,o,p
678,l,f,o,p
679,l,f,o,p
680,a,f,o,p
681,l,f,o,p
682,a,f,o,p
683,a,f,o,p
684,a,f,o,p
685,n,f,o,p
686,a,f,o,p
687,n,f,o,p
688,a,f,o,p
689,l,f,o,p
690,a,f,o,p
691,a,f,o,p
692,l,f,o,p
693,a,f,o,p
694,n,f,o,e
695,p,f,o,p
696,a,f,o,p
697,a,f,o,p
698,p,f,o,p
699,p,f,o,p
700,n,f,o,e
701,p,f,o,p
702,n,f,o,e
703,l,f,o,p
704,l,f,o,p
705,l,f,o,p
706,l,f,o,p
707,l,f,o,p
708,n,f,o,p
709,a,f,o,p
710,a,f,o,p
711,a,f,o,p
712,n,f,o,e
713,l,f,o,p
714,l,f,o,p
715,l,f,o,p
716,a,f,o,p
717,l,f,o,p
718,a,f,o,p
719,a,f,o,p
720,n,f,o,p
721,a,f,o,p
722,a,f,o,p
723,l,f,o,p
724,n,f,o,e
725,a,f,o,p
726,p,f,o,p
727,l,f,o,p
728,n,f,o,e
729,a,f,o,p
730,l,f,o,p
731,l,f,o,p
732,n,f,o,e
733,p,f,o,p
734,p,f,o,p
735,l,f,o,p
736,a,f,o,p
737,a,f,o,p
738,p,f,o,p
739,l,f,o,p
740,n,f,o,p
741,n,f,o,p
742,a,f,o,p
743,a,f,o,p
744,a,f,o,p
745,l,f,o,p
746,l,f,o,p
747,l,f,o,p
748,a,f,o,p
749,p,f,o,p
750,a,f,o,p
751,a,f,o,p
752,l,f,o,p
753,a,f,o,p
754,l,f,o,p
755,a,f,o,p
756,a,f,o,p
757,l,f,o,p
758,n,f,o,e
759,a,f,o,p
760,a,f,o,p
761,l,f,o,p
762,l,f,o,p
763,l,f,o,p
764,n,f,o,p
765,l,f,o,p
766,n,f,o,e
767,l,f,o,p
768,n,f,o,p
769,a,f,o,p
770,a,f,o,p
771,a,f,o,p
772,l,f,o,p
773,a,f,o,p
774,a,f,o,p
775,n,f,o,e
776,a,f,o,p
777,p,f,o,p
778,a,f,o,p
779,l,f,o,p
780,l,f,o,p
781,a,f,o,p
782,n,f,o,p
783,l,f,o,p
784,l,f,o,p
785,a,f,o,p
786,p,f,o,p
787,n,f,o,p
788,l,f,o,p
789,p,f,o,p
790,l,f,o,p
791,l,f,o,p
792,l,f,o,p
793,a,f,o,p
794,a,f,o,p
795,p,f,o,p
796,p,f,o,p
797,l,f,o,p
798,n,f,o,e
799,p,f,o,p
800,l,f,o,p
801,a,f,o,p
802,a,f,o,p
803,p,f,o,p
804,l,f,o,p
805,a,f,o,p
806,l,f,o,p
807,a,f,o,p
808,a,f,o,p
809,l,f,o,p
810,l,f,o,p
811,a,f,o,p
812,a,f,o,p
813,p,f,o,p
814,p,f,o,p
815,p,f,o,p
816,a,f,o,p
817,a,f,o,p
818,a,f,o,p
819,a,f,o,p
820,l,f,o,p
821,l,f,o,p
822,n,f,o,p
823,a,f,o,p
824,l,f,o,p
825,a,f,o,p
826,l,f,o,p
827,l,f,o,p
828,a,f,o,p
829,l,f,o,p
830,l,f,o,p
831,n,f,o,p
832,a,f,o,p
833,l,f,o,p
834,l,f,o,p
835,l,f,o,p
836,p,f,o,p
837,l,f,o,p
838,p,f,o,p
839,a,f,o,p
840,a,f,o,p
841,a,f,o,p
842,p,f,o,p
843,a,f,o,p
844,n,f,o,p
845,a,f,o,p
846,n,f,o,e
847,a,f,o,p
848,l,f,o,p
849,l,f,o,p
850,l,f,o,p
851,l,f,o,p
852,a,f,o,p
853,n,f,o,p
854,n,f,o,e
855,n,f,o,p
856,l,f,o,p
857,l,f,o,p
858,a,f,o,p
859,a,f,o,p
860,p,f,o,p
861,l,f,o,p
862,a,f,o,p
863,a,f,o,p
864,a,f,o,p
865,a,f,o,p
866,l,f,o,p
867,n,f,o,p
868,l,f,o,p
869,n,f,o,p
870,l,f,o,p
871,a,f,o,p
872,l,f,o,p
873,a,f,o,p
874,n,f,o,p
875,a,f,o,p
876,l,f,o,p
877,a,f,o,p
878,l,f,o,p
879,l,f,o,p
880,l,f,o,p
881,a,f,o,p
882,n,f,o,e
883,a,f,o,p
884,l,f,o,p
885,l,f,o,p
886,a,f,o,p
887,a,f,o,p
888,a,f,o,p
889,a,f,o,p
890,l,f,o,p
891,n,f,o,p
892,l,f,o,p
893,a,f,o,p
894,a,f,o,p
895,l,f,o,p
896,l,f,o,p
897,a,f,o,p
898,l,f,o,p
899,l,f,o,p
900,l,f,o,p
901,l,f,o,p
902,n,f,o,e
903,n,f,o,e
904,n,f,o,e
905,l,f,o,p
906,n,f,o,e
907,p,f,o,p
908,n,f,o,e
909,p,f,o,p
910,p,f,o,p
911,l,f,o,p
912,n,f,o,e
913,l,f,o,p
914,n,f,o,e
915,n,f,o,e
916,a,f,o,p
917,l,f,o,p
918,n,f,o,p
919,n,f,o,e
920,n,f,o,e
921,n,f,o,e
922,n,f,o,e
923,l,f,o,p
924,l,f,o,p
925,n,f,o,e
926,n,f,o,e
927,n,f,o,e
928,p,f,o,p
929,n,f,o,p
930,a,f,o,p
931,n,f,o,e
932,n,f,o,e
933,p,f,o,p
934,l,f,o,p
935,n,f,o,p
936,n,f,o,e
937,a,f,o,p
938,n,f,o,e
939,n,f,o,e
940,n,f,o,p
941,a,f,o,p
942,n,f,o,e
943,p,f,o,p
944,n,f,o,e
945,n,f,o,p
946,n,f,o,e
947,n,f,o,e
948,l,f,o,p
949,n,f,o,e
950,p,f,o,p
951,p,f,o,p
952,l,f,o,p
953,n,f,o,e
954,n,f,o,e
955,n,f,o,e
956,l,f,o,p
957,p,f,o,p
958,n,f,o,p
959,l,f,o,p
960,l,f,o,p
961,n,f,o,e
962,n,f,o,e
963,n,f,o,p
964,n,f,o,p
965,n,f,o,e
966,n,f,o,e
967,p,f,o,p
968,n,f,o,p
969,n,f,o,e
970,n,f,o,e
971,n,f,o,e
972,n,f,o,p
973,n,f,o,p
974,n,f,o,e
975,n,f,o,p
976,n,f,o,e
977,l,f,o,p
978,n,f,o,p
979,l,f,o,p
980,n,f,o,e
981,n,f,o,p
982,l,f,o,p
983,n,f,o,e
984,n,f,o,e
985,p,f,o,p
986,n,f,o,e
987,n,f,o,e
988,n,f,o,e
989,n,f,o,e
990,l,f,o,p
991,l,f,o,p
992,n,f,o,e
993,n,f,o,e
994,n,f,o,p
995,n,f,o,e
996,n,f,o,e
997,l,f,o,p
998,a,f,o,p
999,l,f,o,p
1000,p,f,o,p
1001,n,f,o,p
1002,l,f,o,p
1003,n,f,o,e
1004,p,f,o,p
1005,l,f,o,p
1006,n,f,o,e
1007,n,f,o,e
1008,n,f,o,e
1009,n,f,o,e
1010,l,f,o,p
1011,a,f,o,p
1012,n,f,o,e
1013,a,f,o,p
1014,n,f,o,e
1015,n,f,o,e
1016,a,f,o,p
1017,l,f,o,p
1018,n,f,o,p
1019,p,f,o,p
1020,n,f,o,p
1021,n,f,o,e
1022,a,f,o,p
1023,a,f,o,p
1024,a,f,o,p
1025,p,f,o,p
1026,p,f,o,p
1027,n,f,o,p
1028,l,f,o,p
1029,l,f,o,p
1030,n,f,o,e
1031,n,f,o,p
1032,p,f,o,p
1033,n,f,o,e
1034,n,f,o,e
1035,n,f,o,e
1036,n,f,o,e
1037,a,f,o,p
1038,a,f,o,p
1039,n,f,o,p
1040,p,f,o,p
1041,a,f,o,p
1042,a,f,o,p
1043,n,f,o,e
1044,n,f,o,p
1045,n,f,o,e
1046,a,f,o,p
1047,n,f,o,e
1048,p,f,o,p
1049,n,f,o,p
1050,n,f,o,e
1051,n,f,o,p
1052,n,f,o,p
1053,n,f,o,e
1054,l,f,o,p
1055,n,f,o,e
1056,l,f,o,p
1057,l,f,o,p
1058,n,f,o,e
1059,l,f,o,p
1060,n,f,o,e
1061,n,f,o,e
1062,l,f,o,p
1063,n,f,o,e
1064,n,f,o,e
1065,p,f,o,p
1066,l,f,o,p
1067,a,f,o,p
1068,n,f,o,e
1069,n,f,o,p
1070,l,f,o,p
1071,n,f,o,e
1072,p,f,o,p
1073,a,f,o,p
1074,n,f,o,p
1075,l,f,o,p
1076,n,f,o,e
1077,n,f,o,p
1078,p,f,o,p
1079,n,f,o,e
1080,l,f,o,p
1081,n,f,o,e
1082,p,f,o,p
1083,l,f,o,p
1084,n,f,o,e
1085,l,f,o,p
1086,n,f,o,e
1087,l,f,o,p
1088,l,f,o,p
1089,p,f,o,p
1090,l,f,o,p
1091,n,f,o,p
1092,a,f,o,p
1093,n,f,o,e
1094,l,f,o,p
1095,n,f,o,e
1096,p,f,o,p
1097,n,f,o,e
1098,n,f,o,e
1099,n,f,o,e
1100,p,f,o,p
1101,n,f,o,e
1102,n,f,o,e
1103,n,f,o,e
1104,p,f,o,p
1105,n,f,o,e
1106,n,f,o,e
1107,p,f,o,p
1108,n,f,o,e
1109,l,f,o,p
1110,n,f,o,e
1111,n,f,o,e
1112,p,f,o,p
1113,a,f,o,p
1114,n,f,o,e
1115,l,f,o,p
1116,n,f,o,e
1117,n,f,o,e
1118,n,f,o,e
1119,n,f,o,e
1120,n,f,o,e
1121,n,f,o,e
1122,n,f,o,e
1123,n,f,o,e
1124,n,f,o,p
1125,a,f,o,p
1126,n,f,o,e
1127,n,f,o,e
1128,a,f,o,p
1129,n,f,o,e
1130,n,f,o,e
1131,p,f,o,p
1132,n,f,o,e
1133,p,f,o,p
1134,n,f,o,e
1135,a,f,o,p
1136,n,f,o,e
1137,n,f,o,p
1138,l,f,o,p
1139,n,f,o,e
1140,n,f,o,e
1141,n,f,o,e
1142,n,f,o,p
1143,n,f,o,e
1144,n,f,o,e
1145,n,f,o,e
1146,n,f,o,e
1147,n,f,o,e
1148,n,f,o,e
1149,n,f,o,e
1150,n,f,o,e
1151,n,f,o,e
1152,a,f,o,p
1153,p,f,o,p
1154,n,f,o,e
1155,p,f,o,p
1156,a,f,o,p
1157,n,f,o,e
1158,n,f,o,e
1159,n,f,o,e
1160,n,f,o,e
1161,a,f,o,p
1162,n,f,o,e
1163,n,f,o,p
1164,a,f,o,p
1165,n,f,o,e
1166,a,f,o,p
1167,p,f,o,p
1168,n,f,o,p
1169,n,f,o,e
1170,a,f,o,p
1171,n,f,o,e
1172,n,f,o,p
1173,n,f,o,e
1174,n,f,o,p
1175,n,f,o,p
1176,n,f,o,p
1177,l,f,o,p
1178,n,f,o,p
1179,n,f,o,e
1180,a,f,o,p
1181,l,f,o,p
1182,l,f,o,p
1183,n,f,o,e
1184,a,f,o,p
1185,a,f,o,p
1186,n,f,o,e
1187,n,f,o,e
1188,p,f,o,p
1189,l,f,o,p
1190,n,f,o,e
1191,n,f,o,e
1192,l,f,o,p
1193,n,f,o,p
1194,l,f,o,p
1195,a,f,o,p
1196,p,f,o,p
1197,n,f,o,e
1198,a,f,o,p
1199,l,f,o,p
1200,l,f,o,p
1201,l,f,o,p
1202,a,f,o,p
1203,a,f,o,p
1204,n,f,o,e
1205,p,f,o,p
1206,n,f,o,e
1207,n,f,o,e
1208,p,f,o,p
1209,n,f,o,e
1210,n,f,o,e
1211,n,f,o,e
1212,n,f,o,e
1213,a,f,o,p
1214,n,f,o,e
1215,n,f,o,e
1216,p,f,o,p
1217,n,f,o,e
1218,n,f,o,e
1219,n,f,o,e
1220,n,f,o,e
1221,a,f,o,p
1222,n,f,o,e
1223,n,f,o,e
1224,n,f,o,e
1225,n,f,o,e
1226,n,f,o,e
1227,n,f,o,p
1228,n,f,o,e
1229,p,f,o,p
1230,n,f,o,p
1231,n,f,o,e
1232,p,f,o,p
1233,n,f,o,e
1234,n,f,o,e
1235,n,f,o,e
1236,n,f,o,e
1237,n,f,o,e
1238,n,f,o,e
1239,n,f,o,e
1240,n,f,o,e
1241,p,f,o,p
1242,n,f,o,e
1243,p,f,o,p
1244,p,f,o,p
1245,n,f,o,e
1246,n,f,o,e
1247,n,f,o,e
1248,n,f,o,e
1249,n,f,o,e
1250,n,f,o,e
1251,n,f,o,p
1252,n,f,o,p
1253,n,f,o,e
1254,p,f,o,p
1255,p,f,o,p
1256,n,f,o,e
1257,p,f,o,p
1258,n,f,o,e
1259,n,f,o,e
1260,p,f,o,p
1261,p,f,o,p
1262,p,f,o,p
1263,p,f,o,p
1264,n,f,o,e
1265,n,f,o,p
1266,n,f,o,e
1267,n,f,o,e
1268,p,f,o,p
1269,n,f,o,e
1270,n,f,o,p
1271,n,f,o,e
1272,n,f,o,e
1273,p,f,o,p
1274,n,f,o,e
1275,n,f,o,e
1276,p,f,o,p
1277,n,f,o,e
1278,n,f,o,e
1279,n,f,o,e
1280,n,f,o,e
1281,a,f,o,p
1282,n,f,o,e
1283,n,f,o,e
1284,n,f,o,e
1285,n,f,o,e
1286,n,f,o,e
1287,p,f,o,p
1288,n,f,o,e
1289,n,f,o,p
1290,n,f,o,e
1291,n,f,o,p
1292,n,f,o,e
1293,n,f,o,e
1294,p,f,o,p
1295,p,f,o,p
1296,n,f,o,e
1297,n,f,o,p
1298,n,f,o,e
1299,a,f,o,p
1300,n,f,o,e
1301,n,f,o,e
1302,n,f,o,e
1303,n,f,o,e
1304,n,f,o,p
1305,n,f,o,e
1306,n,f,o,e
1307,n,f,o,e
1308,n,f,o,e
1309,n,f,o,e
1310,n,f,o,e
1311,n,f,o,e
1312,n,f,o,e
1313,p,f,o,p
1314,n,f,o,e
1315,l,f,o,p
1316,n,f,o,e
1317,n,f,o,e
1318,n,f,o,p
1319,l,f,o,p
1320,n,f,o,e
1321,n,f,o,p
1322,p,f,o,p
1323,n,f,o,e
1324,p,f,o,p
1325,n,f,o,e
1326,n,f,o,e
1327,l,f,o,p
1328,n,f,o,e
1329,n,f,o,e
1330,n,f,o,e
1331,n,f,o,e
1332,n,f,o,e
1333,p,f,o,p
1334,n,f,o,e
1335,n,f,o,e
1336,n,f,o,p
1337,n,f,o,e
1338,n,f,o,p
1339,a,f,o,p
1340,n,f,o,e
1341,n,f,o,e
1342,n,f,o,e
1343,p,f,o,p
1344,n,f,o,p
1345,n,f,o,e
1346,n,f,o,e
1347,p,f,o,p
1348,n,f,o,e
1349,n,f,o,p
1350,n,f,o,p
1351,n,f,o,p
1352,n,f,o,e
1353,n,f,o,e
1354,n,f,o,e
1355,n,f,o,e
1356,n,f,o,e
1357,n,f,o,e
1358,n,f,o,e
1359,n,f,o,e
