id,cap-shape,cap-surface,odor,gill-attachment,gill-spacing,stalk-surface-below-ring,veil-type,ring-number,ring-type,population
58,b,s,a,f,c,s,p,o,p,n
59,x,s,l,f,c,s,p,o,p,n
60,x,y,a,f,c,y,p,o,p,y
61,s,f,n,f,c,s,p,o,p,v
62,b,y,a,f,c,s,p,o,p,s
63,b,s,l,f,c,s,p,o,p,s
64,b,y,l,f,c,s,p,o,p,n
65,b,y,l,f,c,s,p,o,p,s
66,f,s,n,f,w,s,p,o,e,a
67,x,s,l,f,c,s,p,o,p,s
68,f,y,a,f,c,y,p,o,p,s
69,x,y,a,f,c,s,p,o,p,n
70,x,f,n,f,c,s,p,o,p,v
71,f,f,l,f,w,s,p,o,p,v
72,b,y,l,f,c,s,p,o,p,s
73,f,f,l,f,w,s,p,o,p,v
74,x,y,a,f,c,y,p,o,p,s
75,b,s,a,f,c,s,p,o,p,s
76,f,s,l,f,w,s,p,o,p,v
77,x,s,l,f,w,s,p,o,p,v
78,f,y,l,f,c,y,p,o,p,y
79,x,y,p,f,c,s,p,o,p,v
80,f,y,a,f,c,y,p,o,p,y
81,x,s,n,f,w,s,p,o,e,s
82,x,y,p,f,c,s,p,o,p,s
83,f,f,n,f,c,s,p,o,p,y
84,x,f,n,f,w,s,p,o,e,s
85,x,y,l,f,c,y,p,o,p,s
86,x,s,n,f,w,s,p,o,e,s
87,b,s,a,f,c,s,p,o,p,s
88,x,s,l,f,c,s,p,o,p,s
89,f,y,l,f,c,y,p,o,p,y
90,s,f,n,f,c,s,p,o,p,v
91,x,f,n,f,c,s,p,o,p,y
92,b,s,l,f,c,s,p,o,p,s
93,x,y,a,f,c,s,p,o,p,s
94,x,y,l,f,c,s,p,o,p,n
95,x,s,n,f,w,s,p,o,e,a
96,x,s,a,f,c,s,p,o,p,s
97,f,y,l,f,c,y,p,o,p,s
98,x,s,a,f,c,s,p,o,p,n
99,b,s,a,f,c,s,p,o,p,s
100,x,y,a,f,c,s,p,o,p,s
101,x,f,n,f,w,s,p,o,e,s
102,b,s,l,f,c,s,p,o,p,n
103,f,y,l,f,c,y,p,o,p,s
104,x,y,a,f,c,y,p,o,p,y
105,b,y,l,f,c,s,p,o,p,n
106,x,y,a,f,c,s,p,o,p,n
107,x,y,a,f,c,y,p,o,p,y
108,b,y,l,f,c,s,p,o,p,s
109,b,y,a,f,c,s,p,o,p,s
110,x,s,a,f,c,s,p,o,p,n
111,x,s,l,f,c,s,p,o,p,n
112,s,f,n,f,c,s,p,o,p,y
113,x,f,a,f,w,s,p,o,p,v
114,x,s,a,f,c,s,p,o,p,n
115,x,y,p,f,c,s,p,o,p,v
116,x,y,l,f,c,y,p,o,p,s
117,s,f,n,f,c,s,p,o,p,y
118,x,y,l,f,c,y,p,o,p,y
119,x,s,l,f,w,s,p,o,p,v
120,s,f,n,f,c,s,p,o,p,y
121,x,s,p,f,c,s,p,o,p,v
122,x,y,a,f,c,s,p,o,p,n
123,f,y,p,f,c,s,p,o,p,v
124,f,s,n,f,w,s,p,o,e,a
125,x,s,l,f,c,s,p,o,p,s
126,x,s,n,f,w,f,p,o,e,s
127,b,s,a,f,c,s,p,o,p,n
128,f,f,n,f,w,s,p,o,e,a
129,x,s,l,f,c,s,p,o,p,n
130,b,s,l,f,c,s,p,o,p,s
131,b,s,l,f,c,s,p,o,p,s
132,b,y,l,f,c,s,p,o,p,s
133,f,s,l,f,w,s,p,o,p,v
134,x,y,l,f,c,s,p,o,p,s
135,f,s,a,f,w,s,p,o,p,v
136,x,y,p,f,c,s,p,o,p,v
137,f,f,l,f,w,s,p,o,p,v
138,x,y,a,f,c,s,p,o,p,s
139,x,s,p,f,c,s,p,o,p,v
140,b,s,l,f,c,s,p,o,p,n
141,x,y,a,f,c,y,p,o,p,y
142,b,y,l,f,c,s,p,o,p,n
143,s,f,n,f,c,s,p,o,p,v
144,f,y,a,f,c,y,p,o,p,y
145,x,y,a,f,c,s,p,o,p,n
146,x,f,n,f,w,f,p,o,e,s
147,f,f,n,f,w,f,p,o,e,a
148,x,y,l,f,c,s,p,o,p,n
149,b,s,l,f,c,s,p,o,p,n
150,b,y,a,f,c,s,p,o,p,n
151,x,y,a,f,c,s,p,o,p,s
152,x,s,n,f,w,s,p,o,e,a
153,x,y,l,f,c,s,p,o,p,s
154,s,f,n,f,c,s,p,o,p,v
155,x,s,a,f,w,s,p,o,p,v
156,x,y,l,f,c,y,p,o,p,s
157,b,y,a,f,c,s,p,o,p,n
158,x,y,a,f,c,s,p,o,p,n
159,b,y,a,f,c,s,p,o,p,s
160,b,s,a,f,c,s,p,o,p,s
161,b,s,l,f,c,s,p,o,p,s
162,b,y,a,f,c,s,p,o,p,n
163,x,f,n,f,c,s,p,o,p,y
164,f,y,l,f,c,y,p,o,p,y
165,x,y,a,f,c,s,p,o,p,s
166,f,y,l,f,c,y,p,o,p,y
167,b,s,a,f,c,s,p,o,p,s
168,b,s,a,f,c,s,p,o,p,s
169,x,y,l,f,c,y,p,o,p,y
170,b,s,a,f,c,s,p,o,p,s
171,x,f,n,f,c,s,p,o,p,y
172,b,s,l,f,c,s,p,o,p,s
173,x,f,l,f,w,s,p,o,p,v
174,b,y,a,f,c,s,p,o,p,s
175,f,y,l,f,c,y,p,o,p,s
176,b,y,l,f,c,s,p,o,p,n
177,b,y,a,f,c,s,p,o,p,n
178,b,y,a,f,c,s,p,o,p,s
179,x,y,l,f,c,s,p,o,p,n
180,b,s,l,f,c,s,p,o,p,n
181,x,y,p,f,c,s,p,o,p,v
182,s,f,n,f,c,s,p,o,p,y
183,f,f,n,f,c,s,p,o,p,v
184,x,s,a,f,c,s,p,o,p,s
185,f,y,a,f,c,y,p,o,p,s
186,x,y,p,f,c,s,p,o,p,s
187,b,s,l,f,c,s,p,o,p,s
188,f,f,n,f,c,s,p,o,p,v
189,b,y,l,f,c,s,p,o,p,n
190,x,y,a,f,c,y,p,o,p,y
191,x,f,n,f,w,f,p,o,e,s
192,x,s,l,f,w,s,p,o,p,v
193,b,s,l,f,c,s,p,o,p,s
194,f,s,a,f,w,s,p,o,p,v
195,x,s,a,f,c,s,p,o,p,n
196,f,f,n,f,c,s,p,o,p,y
197,b,s,a,f,c,s,p,o,p,s
198,x,s,l,f,c,s,p,o,p,n
199,x,y,l,f,c,s,p,o,p,s
200,f,s,a,f,w,s,p,o,p,v
201,x,y,l,f,c,s,p,o,p,s
202,b,s,l,f,c,s,p,o,p,s
203,x,s,a,f,c,s,p,o,p,n
204,x,f,n,f,w,s,p,o,e,s
205,f,y,l,f,c,y,p,o,p,y
206,x,s,p,f,c,s,p,o,p,v
207,b,s,a,f,c,s,p,o,p,n
208,b,s,a,f,c,s,p,o,p,s
209,b,y,l,f,c,s,p,o,p,n
210,b,y,a,f,c,s,p,o,p,n
211,x,s,a,f,c,s,p,o,p,s
212,b,s,l,f,c,s,p,o,p,n
213,x,f,a,f,w,s,p,o,p,v
214,x,f,n,f,c,s,p,o,p,y
215,f,y,a,f,c,y,p,o,p,s
216,b,s,l,f,c,s,p,o,p,n
217,x,s,a,f,c,s,p,o,p,s
218,x,y,a,f,c,s,p,o,p,s
219,x,y,l,f,c,s,p,o,p,s
220,s,f,n,f,c,s,p,o,p,v
221,x,s,a,f,c,s,p,o,p,n
222,x,s,p,f,c,s,p,o,p,s
223,x,y,a,f,c,y,p,o,p,s
224,f,f,a,f,w,s,p,o,p,v
225,x,y,l,f,c,s,p,o,p,n
226,b,y,l,f,c,s,p,o,p,s
227,x,s,a,f,c,s,p,o,p,n
228,x,s,a,f,c,s,p,o,p,s
229,x,y,p,f,c,s,p,o,p,v
230,b,s,a,f,c,s,p,o,p,n
231,x,f,n,f,c,s,p,o,p,y
232,x,y,p,f,c,s,p,o,p,s
233,x,y,l,f,c,y,p,o,p,y
234,f,f,n,f,c,s,p,o,p,v
235,b,s,l,f,c,s,p,o,p,n
236,x,f,l,f,w,s,p,o,p,v
237,x,y,l,f,c,s,p,o,p,s
238,b,y,l,f,c,s,p,o,p,s
239,x,y,l,f,c,y,p,o,p,s
240,f,y,a,f,c,y,p,o,p,s
241,f,y,a,f,c,y,p,o,p,y
242,x,s,l,f,c,s,p,o,p,s
243,x,s,a,f,c,s,p,o,p,n
244,x,s,p,f,c,s,p,o,p,v
245,f,f,a,f,w,s,p,o,p,v
246,x,s,l,f,c,s,p,o,p,s
247,x,s,l,f,w,s,p,o,p,v
248,x,y,a,f,c,s,p,o,p,s
249,f,y,l,f,c,y,p,o,p,y
250,x,s,n,f,w,s,p,o,e,s
251,f,y,a,f,c,y,p,o,p,y
252,x,s,p,f,c,s,p,o,p,s
253,s,f,n,f,c,s,p,o,p,v
254,b,y,l,f,c,s,p,o,p,s
255,b,s,l,f,c,s,p,o,p,s
256,b,y,l,f,c,s,p,o,p,n
257,f,f,n,f,c,s,p,o,p,v
258,x,s,a,f,c,s,p,o,p,n
259,b,y,l,f,c,s,p,o,p,n
260,b,y,a,f,c,s,p,o,p,n
261,f,y,l,f,c,y,p,o,p,s
262,x,y,p,f,c,s,p,o,p,v
263,x,s,a,f,c,s,p,o,p,n
264,x,y,a,f,c,s,p,o,p,s
265,f,f,l,f,w,s,p,o,p,v
266,f,f,n,f,c,s,p,o,p,v
267,f,s,n,f,w,s,p,o,e,a
268,x,y,a,f,c,s,p,o,p,s
269,b,s,a,f,c,s,p,o,p,s
270,f,y,p,f,c,s,p,o,p,s
271,x,s,l,f,c,s,p,o,p,n
272,f,s,p,f,c,s,p,o,p,v
273,x,y,l,f,c,s,p,o,p,s
274,x,y,a,f,c,s,p,o,p,n
275,f,y,a,f,c,y,p,o,p,s
276,x,y,a,f,c,y,p,o,p,s
277,f,y,a,f,c,y,p,o,p,y
278,x,y,a,f,c,s,p,o,p,n
279,f,f,n,f,w,s,p,o,e,s
280,x,s,l,f,c,s,p,o,p,n
281,x,y,p,f,c,s,p,o,p,s
282,b,y,a,f,c,s,p,o,p,n
283,s,f,n,f,c,s,p,o,p,v
284,x,s,l,f,c,s,p,o,p,s
285,b,y,l,f,c,s,p,o,p,n
286,f,y,a,f,c,y,p,o,p,s
287,b,y,a,f,c,s,p,o,p,s
288,b,y,a,f,c,s,p,o,p,s
289,x,y,l,f,c,y,p,o,p,y
290,f,f,n,f,c,s,p,o,p,y
291,x,f,n,f,c,s,p,o,p,y
292,b,y,l,f,c,s,p,o,p,s
293,x,s,l,f,c,s,p,o,p,s
294,b,y,l,f,c,s,p,o,p,s
295,x,s,a,f,c,s,p,o,p,s
296,b,s,a,f,c,s,p,o,p,n
297,x,s,a,f,c,s,p,o,p,s
298,x,f,n,f,w,f,p,o,e,s
299,f,s,a,f,w,s,p,o,p,v
300,x,y,p,f,c,s,p,o,p,s
301,x,f,n,f,w,s,p,o,e,a
302,b,y,a,f,c,s,p,o,p,s
303,x,s,l,f,w,s,p,o,p,v
304,b,y,a,f,c,s,p,o,p,s
305,x,y,l,f,c,s,p,o,p,s
306,x,f,n,f,c,s,p,o,p,y
307,b,y,l,f,c,s,p,o,p,s
308,x,s,l,f,c,s,p,o,p,n
309,f,y,a,f,c,y,p,o,p,y
310,x,f,n,f,w,s,p,o,e,s
311,x,s,l,f,c,s,p,o,p,s
312,x,y,p,f,c,s,p,o,p,v
313,x,y,l,f,c,s,p,o,p,s
314,x,f,a,f,w,s,p,o,p,v
315,b,s,a,f,c,s,p,o,p,n
316,x,y,p,f,c,s,p,o,p,v
317,x,s,a,f,w,s,p,o,p,v
318,x,y,a,f,c,s,p,o,p,n
319,x,f,l,f,w,s,p,o,p,v
320,f,s,l,f,w,s,p,o,p,v
321,x,y,l,f,c,s,p,o,p,s
322,f,f,a,f,w,s,p,o,p,v
323,x,s,a,f,c,s,p,o,p,s
324,b,y,a,f,c,s,p,o,p,s
325,x,y,l,f,c,y,p,o,p,s
326,b,y,l,f,c,s,p,o,p,n
327,x,s,a,f,c,s,p,o,p,s
328,x,y,p,f,c,s,p,o,p,v
329,b,s,l,f,c,s,p,o,p,n
330,b,y,a,f,c,s,p,o,p,n
331,x,y,p,f,c,s,p,o,p,v
332,b,s,l,f,c,s,p,o,p,s
333,b,y,l,f,c,s,p,o,p,n
334,b,y,a,f,c,s,p,o,p,s
335,x,y,l,f,c,s,p,o,p,n
336,x,f,n,f,c,s,p,o,p,y
337,x,y,a,f,c,y,p,o,p,y
338,b,s,l,f,c,s,p,o,p,s
339,x,f,n,f,c,s,p,o,p,v
340,x,y,l,f,c,y,p,o,p,y
341,x,s,a,f,c,s,p,o,p,s
342,b,y,a,f,c,s,p,o,p,n
343,x,s,a,f,c,s,p,o,p,s
344,f,f,a,f,w,s,p,o,p,v
345,b,y,l,f,c,s,p,o,p,s
346,x,f,n,f,w,f,p,o,e,a
347,x,f,l,f,w,s,p,o,p,v
348,x,s,a,f,c,s,p,o,p,n
349,f,s,n,f,w,f,p,o,e,s
350,x,f,n,f,c,s,p,o,p,y
351,f,s,n,f,w,f,p,o,e,a
352,f,y,a,f,c,y,p,o,p,s
353,b,y,a,f,c,s,p,o,p,s
354,b,s,a,f,c,s,p,o,p,s
355,x,y,l,f,c,y,p,o,p,s
356,s,f,n,f,c,s,p,o,p,v
357,f,y,a,f,c,y,p,o,p,y
358,x,y,p,f,c,s,p,o,p,s
359,x,y,a,f,c,y,p,o,p,y
360,x,y,a,f,c,s,p,o,p,s
361,x,f,n,f,w,f,p,o,e,s
362,x,f,n,f,w,f,p,o,e,a
363,f,s,n,f,w,s,p,o,e,a
364,f,y,a,f,c,y,p,o,p,s
365,x,s,a,f,c,s,p,o,p,n
366,f,f,n,f,c,s,p,o,p,v
367,x,y,a,f,c,y,p,o,p,s
368,x,f,a,f,w,s,p,o,p,v
369,b,y,a,f,c,s,p,o,p,n
370,x,f,n,f,w,s,p,o,e,s
371,x,y,a,f,c,y,p,o,p,s
372,f,y,l,f,c,y,p,o,p,y
373,x,s,a,f,c,s,p,o,p,s
374,s,f,n,f,c,s,p,o,p,y
375,x,s,a,f,c,s,p,o,p,s
376,b,s,l,f,c,s,p,o,p,n
377,s,f,n,f,c,s,p,o,p,y
378,b,y,l,f,c,s,p,o,p,n
379,x,y,l,f,c,s,p,o,p,n
380,b,y,a,f,c,s,p,o,p,s
381,x,y,p,f,c,s,p,o,p,s
382,x,s,n,f,w,s,p,o,e,s
383,x,y,a,f,c,s,p,o,p,s
384,b,s,a,f,c,s,p,o,p,n
385,x,f,n,f,c,s,p,o,p,y
386,x,s,p,f,c,s,p,o,p,s
387,x,y,l,f,c,y,p,o,p,y
388,x,s,n,f,w,s,p,o,e,a
389,b,y,l,f,c,s,p,o,p,n
390,x,s,a,f,c,s,p,o,p,n
391,b,s,a,f,c,s,p,o,p,s
392,x,s,l,f,c,s,p,o,p,n
393,b,y,a,f,c,s,p,o,p,n
394,x,f,n,f,c,s,p,o,p,v
395,f,y,a,f,c,y,p,o,p,s
396,x,f,n,f,w,f,p,o,e,a
397,x,s,l,f,c,s,p,o,p,n
398,x,y,l,f,c,s,p,o,p,s
399,x,f,n,f,c,s,p,o,p,v
400,x,s,p,f,c,s,p,o,p,s
401,b,y,l,f,c,s,p,o,p,n
402,b,y,a,f,c,s,p,o,p,n
403,x,y,p,f,c,s,p,o,p,v
404,b,s,l,f,c,s,p,o,p,s
405,x,s,l,f,c,s,p,o,p,s
406,x,y,l,f,c,s,p,o,p,s
407,b,y,l,f,c,s,p,o,p,n
408,x,s,a,f,c,s,p,o,p,s
409,x,s,a,f,c,s,p,o,p,s
410,x,y,l,f,c,y,p,o,p,y
411,x,s,a,f,c,s,p,o,p,s
412,x,s,n,f,w,f,p,o,e,s
413,x,y,l,f,c,y,p,o,p,s
414,x,y,l,f,c,y,p,o,p,y
415,x,y,p,f,c,s,p,o,p,v
416,b,y,a,f,c,s,p,o,p,n
417,x,f,l,f,w,s,p,o,p,v
418,x,s,p,f,c,s,p,o,p,s
419,x,y,l,f,c,s,p,o,p,n
420,f,f,n,f,w,f,p,o,e,a
421,x,y,l,f,c,s,p,o,p,s
422,b,y,a,f,c,s,p,o,p,s
423,x,y,p,f,c,s,p,o,p,s
424,f,y,l,f,c,y,p,o,p,s
425,x,s,l,f,c,s,p,o,p,n
426,x,s,a,f,w,s,p,o,p,v
427,f,y,a,f,c,y,p,o,p,y
428,b,s,a,f,c,s,p,o,p,n
429,x,s,n,f,w,f,p,o,e,a
430,f,f,n,f,c,s,p,o,p,v
431,x,y,a,f,c,s,p,o,p,s
432,x,y,l,f,c,y,p,o,p,y
433,b,s,l,f,c,s,p,o,p,s
434,b,s,l,f,c,s,p,o,p,s
435,f,s,l,f,w,s,p,o,p,v
436,b,s,a,f,c,s,p,o,p,n
437,x,f,a,f,w,s,p,o,p,v
438,x,y,l,f,c,s,p,o,p,n
439,b,y,l,f,c,s,p,o,p,n
440,x,y,a,f,c,y,p,o,p,y
441,x,y,l,f,c,s,p,o,p,s
442,x,y,l,f,c,s,p,o,p,s
443,x,y,a,f,c,y,p,o,p,y
444,x,y,l,f,c,s,p,o,p,n
445,x,s,l,f,c,s,p,o,p,n
446,x,y,l,f,c,y,p,o,p,s
447,x,s,l,f,c,s,p,o,p,n
448,f,y,l,f,c,y,p,o,p,s
449,b,s,l,f,c,s,p,o,p,s
450,x,f,n,f,c,s,p,o,p,y
451,x,y,l,f,c,s,p,o,p,s
452,b,s,l,f,c,s,p,o,p,n
453,b,s,l,f,c,s,p,o,p,n
454,x,f,l,f,w,s,p,o,p,v
455,b,s,l,f,c,s,p,o,p,n
456,x,s,n,f,w,f,p,o,e,a
457,b,s,a,f,c,s,p,o,p,n
458,b,s,l,f,c,s,p,o,p,s
459,f,y,a,f,c,y,p,o,p,y
460,f,y,a,f,c,y,p,o,p,y
461,x,s,a,f,c,s,p,o,p,s
462,f,y,l,f,c,y,p,o,p,s
463,b,s,a,f,c,s,p,o,p,s
464,x,y,a,f,c,s,p,o,p,n
465,x,f,n,f,c,s,p,o,p,v
466,f,y,a,f,c,y,p,o,p,y
467,x,s,a,f,c,s,p,o,p,n
468,x,s,l,f,c,s,p,o,p,n
469,b,y,l,f,c,s,p,o,p,n
470,f,y,a,f,c,y,p,o,p,s
471,x,y,l,f,c,s,p,o,p,n
472,x,y,a,f,c,s,p,o,p,n
473,f,f,a,f,w,s,p,o,p,v
474,s,f,n,f,c,s,p,o,p,y
475,f,s,l,f,w,s,p,o,p,v
476,f,f,n,f,c,s,p,o,p,y
477,x,f,n,f,c,s,p,o,p,y
478,b,y,a,f,c,s,p,o,p,n
479,x,s,a,f,w,s,p,o,p,v
480,b,y,l,f,c,s,p,o,p,s
481,b,y,a,f,c,s,p,o,p,s
482,b,y,l,f,c,s,p,o,p,s
483,f,s,l,f,w,s,p,o,p,v
484,f,f,n,f,c,s,p,o,p,y
485,f,s,a,f,w,s,p,o,p,v
486,f,y,a,f,c,y,p,o,p,y
487,x,y,l,f,c,s,p,o,p,s
488,s,f,n,f,c,s,p,o,p,y
489,x,y,l,f,c,y,p,o,p,s
490,x,y,a,f,c,y,p,o,p,s
491,f,f,a,f,w,s,p,o,p,v
492,f,s,p,f,c,s,p,o,p,s
493,x,s,p,f,c,s,p,o,p,v
494,f,y,l,f,c,y,p,o,p,s
495,x,y,a,f,c,y,p,o,p,s
496,b,s,a,f,c,s,p,o,p,n
497,f,f,n,f,w,s,p,o,e,a
498,f,y,a,f,c,y,p,o,p,s
499,x,y,a,f,c,s,p,o,p,s
500,b,s,l,f,c,s,p,o,p,n
501,x,s,a,f,c,s,p,o,p,n
502,b,y,a,f,c,s,p,o,p,n
503,x,s,l,f,c,s,p,o,p,n
504,b,s,a,f,c,s,p,o,p,s
505,b,y,a,f,c,s,p,o,p,s
506,x,s,p,f,c,s,p,o,p,v
507,x,s,n,f,w,s,p,o,e,s
508,f,s,n,f,w,s,p,o,e,a
509,x,f,a,f,w,s,p,o,p,v
510,f,f,n,f,c,s,p,o,p,v
511,f,f,n,f,c,s,p,o,p,y
512,b,y,a,f,c,s,p,o,p,s
513,x,f,a,f,w,s,p,o,p,v
514,s,f,n,f,c,s,p,o,p,v
515,x,f,n,f,c,s,p,o,p,v
516,x,f,n,f,w,s,p,o,e,a
517,x,y,l,f,c,y,p,o,p,y
518,b,s,a,f,c,s,p,o,p,n
519,x,y,l,f,c,s,p,o,p,s
520,x,y,a,f,c,s,p,o,p,n
521,x,s,l,f,c,s,p,o,p,n
522,b,s,l,f,c,s,p,o,p,s
523,f,y,a,f,c,y,p,o,p,y
524,x,s,p,f,c,s,p,o,p,s
525,f,f,n,f,c,s,p,o,p,y
526,b,s,l,f,c,s,p,o,p,s
527,f,y,a,f,c,y,p,o,p,s
528,x,s,a,f,c,s,p,o,p,s
529,x,f,n,f,c,s,p,o,p,y
530,f,y,a,f,c,y,p,o,p,y
531,x,y,a,f,c,y,p,o,p,y
532,x,s,a,f,c,s,p,o,p,s
533,x,y,p,f,c,s,p,o,p,s
534,f,y,l,f,c,y,p,o,p,y
535,f,s,p,f,c,s,p,o,p,s
536,x,f,n,f,w,s,p,o,e,s
537,b,y,a,f,c,s,p,o,p,s
538,s,f,n,f,c,s,p,o,p,v
539,x,y,l,f,c,s,p,o,p,s
540,f,s,a,f,w,s,p,o,p,v
541,x,s,a,f,c,s,p,o,p,s
542,f,f,n,f,w,f,p,o,e,s
543,x,y,p,f,c,s,p,o,p,s
544,x,y,a,f,c,y,p,o,p,s
545,f,f,n,f,w,s,p,o,e,a
546,x,s,a,f,c,s,p,o,p,s
547,b,y,l,f,c,s,p,o,p,s
548,f,f,n,f,c,s,p,o,p,v
549,x,f,l,f,w,s,p,o,p,v
550,x,s,a,f,c,s,p,o,p,n
551,f,f,n,f,c,s,p,o,p,y
552,x,f,n,f,w,s,p,o,e,s
553,x,y,l,f,c,y,p,o,p,s
554,f,s,l,f,w,s,p,o,p,v
555,x,s,l,f,c,s,p,o,p,s
556,f,y,a,f,c,y,p,o,p,y
557,x,y,p,f,c,s,p,o,p,v
558,x,f,l,f,w,s,p,o,p,v
559,x,s,l,f,c,s,p,o,p,n
560,x,y,a,f,c,s,p,o,p,n
561,b,s,a,f,c,s,p,o,p,s
562,x,s,a,f,w,s,p,o,p,v
563,x,s,a,f,w,s,p,o,p,v
564,x,f,n,f,w,s,p,o,e,s
565,b,s,a,f,c,s,p,o,p,s
566,x,y,p,f,c,s,p,o,p,v
567,x,y,a,f,c,s,p,o,p,n
568,f,s,n,f,w,f,p,o,e,s
569,x,s,p,f,c,s,p,o,p,s
570,b,y,a,f,c,s,p,o,p,n
571,x,s,a,f,c,s,p,o,p,n
572,f,f,l,f,w,s,p,o,p,v
573,x,s,a,f,c,s,p,o,p,n
574,b,y,l,f,c,s,p,o,p,n
575,x,y,a,f,c,y,p,o,p,y
576,x,s,l,f,c,s,p,o,p,s
577,x,f,n,f,c,s,p,o,p,v
578,x,s,l,f,c,s,p,o,p,s
579,x,y,l,f,c,y,p,o,p,y
580,x,s,p,f,c,s,p,o,p,s
581,x,s,a,f,c,s,p,o,p,n
582,x,s,a,f,c,s,p,o,p,s
583,x,y,l,f,c,s,p,o,p,n
584,x,y,a,f,c,y,p,o,p,y
585,f,y,a,f,c,y,p,o,p,s
586,x,y,a,f,c,s,p,o,p,s
587,s,f,n,f,c,s,p,o,p,v
588,f,f,n,f,c,s,p,o,p,y
589,s,f,n,f,c,s,p,o,p,v
590,x,y,a,f,c,s,p,o,p,n
591,x,s,p,f,c,s,p,o,p,s
592,x,s,n,f,w,f,p,o,e,s
593,x,y,l,f,c,s,p,o,p,s
594,x,y,p,f,c,s,p,o,p,s
595,x,s,a,f,c,s,p,o,p,n
596,x,s,p,f,c,s,p,o,p,v
597,b,s,l,f,c,s,p,o,p,n
598,b,y,l,f,c,s,p,o,p,s
599,x,y,p,f,c,s,p,o,p,s
600,x,s,p,f,c,s,p,o,p,s
601,x,s,n,f,w,f,p,o,e,a
602,x,y,l,f,c,y,p,o,p,y
603,f,f,n,f,w,f,p,o,e,a
604,f,y,l,f,c,y,p,o,p,s
605,b,y,l,f,c,s,p,o,p,s
606,b,s,a,f,c,s,p,o,p,n
607,x,s,n,f,w,f,p,o,e,s
608,f,y,a,f,c,y,p,o,p,y
609,x,s,l,f,c,s,p,o,p,s
610,f,f,n,f,c,s,p,o,p,v
611,f,s,n,f,w,s,p,o,e,a
612,x,f,n,f,w,f,p,o,e,s
613,f,s,n,f,w,f,p,o,e,a
614,x,s,p,f,c,s,p,o,p,s
615,x,y,l,f,c,y,p,o,p,s
616,b,s,l,f,c,s,p,o,p,s
617,f,f,n,f,w,s,p,o,e,a
618,b,y,l,f,c,s,p,o,p,s
619,b,s,a,f,c,s,p,o,p,n
620,s,f,n,f,c,s,p,o,p,y
621,f,y,l,f,c,y,p,o,p,s
622,b,s,l,f,c,s,p,o,p,n
623,x,f,l,f,w,s,p,o,p,v
624,f,y,a,f,c,y,p,o,p,s
625,f,f,n,f,c,s,p,o,p,y
626,x,s,l,f,c,s,p,o,p,s
627,f,f,l,f,w,s,p,o,p,v
628,s,f,n,f,c,s,p,o,p,y
629,b,y,a,f,c,s,p,o,p,s
630,b,s,a,f,c,s,p,o,p,n
