id,gill-attachment,gill-color,stalk-surface-above-ring,veil-type,ring-type,classes
249,f,w,s,p,p,e
250,f,p,f,p,e,e
251,f,w,s,p,p,e
252,f,p,s,p,p,p
253,f,g,s,p,p,e
254,f,w,s,p,p,e
255,f,n,s,p,p,e
256,f,k,s,p,p,e
257,f,k,s,p,p,e
258,f,w,s,p,p,e
259,f,g,s,p,p,e
260,f,g,s,p,p,e
261,f,w,s,p,p,e
262,f,k,s,p,p,p
263,f,n,s,p,p,e
264,f,n,s,p,p,e
265,f,w,s,p,p,e
266,f,g,s,p,p,e
267,f,p,s,p,e,e
268,f,g,s,p,p,e
269,f,k,s,p,p,e
270,f,w,s,p,p,p
271,f,n,s,p,p,e
272,f,w,s,p,p,p
273,f,k,s,p,p,e
274,f,k,s,p,p,e
275,f,n,s,p,p,e
276,f,w,s,p,p,e
277,f,w,s,p,p,e
278,f,w,s,p,p,e
279,f,h,s,p,e,e
280,f,k,s,p,p,e
281,f,w,s,p,p,p
282,f,n,s,p,p,e
283,f,p,s,p,p,e
284,f,k,s,p,p,e
285,f,n,s,p,p,e
286,f,n,s,p,p,e
287,f,g,s,p,p,e
288,f,g,s,p,p,e
289,f,n,s,p,p,e
290,f,p,s,p,p,e
291,f,g,s,p,p,e
292,f,n,s,p,p,e
293,f,n,s,p,p,e
294,f,k,s,p,p,e
295,f,g,s,p,p,e
296,f,g,s,p,p,e
297,f,k,s,p,p,e
298,f,p,f,p,e,e
299,f,p,s,p,p,e
300,f,p,s,p,p,p
301,f,k,f,p,e,e
302,f,w,s,p,p,e
303,f,w,s,p,p,e
304,f,n,s,p,p,e
305,f,g,s,p,p,e
306,f,p,s,p,p,e
307,f,k,s,p,p,e
308,f,g,s,p,p,e
309,f,p,s,p,p,e
310,f,n,s,p,e,e
311,f,w,s,p,p,e
312,f,n,s,p,p,p
313,f,n,s,p,p,e
314,f,p,s,p,p,e
315,f,g,s,p,p,e
316,f,k,s,p,p,p
317,f,w,s,p,p,e
318,f,k,s,p,p,e
319,f,n,s,p,p,e
320,f,w,s,p,p,e
321,f,k,s,p,p,e
322,f,w,s,p,p,e
323,f,w,s,p,p,e
324,f,n,s,p,p,e
325,f,p,s,p,p,e
326,f,k,s,p,p,e
327,f,n,s,p,p,e
328,f,n,s,p,p,p
329,f,w,s,p,p,e
330,f,g,s,p,p,e
331,f,w,s,p,p,p
332,f,n,s,p,p,e
333,f,w,s,p,p,e
334,f,n,s,p,p,e
335,f,g,s,p,p,e
336,f,p,s,p,p,e
337,f,w,s,p,p,e
338,f,n,s,p,p,e
339,f,g,s,p,p,e
340,f,n,s,p,p,e
341,f,k,s,p,p,e
342,f,n,s,p,p,e
343,f,g,s,p,p,e
344,f,p,s,p,p,e
345,f,g,s,p,p,e
346,f,n,s,p,e,e
347,f,n,s,p,p,e
348,f,n,s,p,p,e
349,f,n,s,p,e,e
350,f,g,s,p,p,e
351,f,h,f,p,e,e
352,f,p,s,p,p,e
353,f,k,s,p,p,e
354,f,k,s,p,p,e
355,f,w,s,p,p,e
356,f,g,s,p,p,e
357,f,p,s,p,p,e
358,f,k,s,p,p,p
359,f,p,s,p,p,e
360,f,w,s,p,p,e
361,f,h,s,p,e,e
362,f,p,f,p,e,e
363,f,k,f,p,e,e
364,f,n,s,p,p,e
365,f,w,s,p,p,e
366,f,p,s,p,p,e
367,f,w,s,p,p,e
368,f,p,s,p,p,e
369,f,g,s,p,p,e
370,f,n,s,p,e,e
371,f,w,s,p,p,e
372,f,n,s,p,p,e
373,f,w,s,p,p,e
374,f,n,s,p,p,e
375,f,k,s,p,p,e
376,f,n,s,p,p,e
377,f,k,s,p,p,e
378,f,n,s,p,p,e
379,f,k,s,p,p,e
380,f,k,s,p,p,e
381,f,p,s,p,p,p
382,f,k,f,p,e,e
383,f,w,s,p,p,e
384,f,g,s,p,p,e
385,f,n,s,p,p,e
386,f,w,s,p,p,p
387,f,w,s,p,p,e
388,f,n,s,p,e,e
389,f,n,s,p,p,e
390,f,w,s,p,p,e
391,f,n,s,p,p,e
392,f,g,s,p,p,e
393,f,n,s,p,p,e
394,f,k,s,p,p,e
395,f,w,s,p,p,e
396,f,h,f,p,e,e
397,f,k,s,p,p,e
398,f,w,s,p,p,e
399,f,n,s,p,p,e
400,f,p,s,p,p,p
401,f,w,s,p,p,e
402,f,n,s,p,p,e
403,f,p,s,p,p,p
404,f,w,s,p,p,e
405,f,k,s,p,p,e
406,f,n,s,p,p,e
407,f,n,s,p,p,e
408,f,g,s,p,p,e
409,f,g,s,p,p,e
410,f,w,s,p,p,e
411,f,w,s,p,p,e
412,f,n,f,p,e,e
413,f,n,s,p,p,e
414,f,n,s,p,p,e
415,f,k,s,p,p,p
416,f,w,s,p,p,e
417,f,p,s,p,p,e
418,f,w,s,p,p,p
419,f,k,s,p,p,e
420,f,h,f,p,e,e
421,f,n,s,p,p,e
422,f,w,s,p,p,e
423,f,p,s,p,p,p
424,f,w,s,p,p,e
425,f,n,s,p,p,e
426,f,n,s,p,p,e
427,f,n,s,p,p,e
428,f,k,s,p,p,e
429,f,p,f,p,e,e
430,f,n,s,p,p,e
431,f,g,s,p,p,e
432,f,n,s,p,p,e
433,f,g,s,p,p,e
434,f,w,s,p,p,e
435,f,n,s,p,p,e
436,f,w,s,p,p,e
437,f,n,s,p,p,e
438,f,g,s,p,p,e
439,f,k,s,p,p,e
440,f,p,s,p,p,e
441,f,n,s,p,p,e
442,f,g,s,p,p,e
443,f,p,s,p,p,e
444,f,n,s,p,p,e
445,f,w,s,p,p,e
446,f,p,s,p,p,e
447,f,n,s,p,p,e
448,f,n,s,p,p,e
449,f,w,s,p,p,e
450,f,n,s,p,p,e
451,f,k,s,p,p,e
452,f,g,s,p,p,e
453,f,g,s,p,p,e
454,f,p,s,p,p,e
455,f,g,s,p,p,e
456,f,h,s,p,e,e
457,f,k,s,p,p,e
458,f,w,s,p,p,e
459,f,n,s,p,p,e
460,f,w,s,p,p,e
461,f,k,s,p,p,e
462,f,n,s,p,p,e
463,f,g,s,p,p,e
464,f,w,s,p,p,e
465,f,k,s,p,p,e
466,f,p,s,p,p,e
467,f,g,s,p,p,e
468,f,g,s,p,p,e
469,f,g,s,p,p,e
470,f,w,s,p,p,e
471,f,g,s,p,p,e
472,f,w,s,p,p,e
473,f,n,s,p,p,e
474,f,k,s,p,p,e
475,f,n,s,p,p,e
476,f,k,s,p,p,e
477,f,p,s,p,p,e
478,f,w,s,p,p,e
479,f,p,s,p,p,e
480,f,n,s,p,p,e
481,f,k,s,p,p,e
482,f,g,s,p,p,e
483,f,p,s,p,p,e
484,f,g,s,p,p,e
485,f,w,s,p,p,e
486,f,p,s,p,p,e
487,f,w,s,p,p,e
488,f,p,s,p,p,e
489,f,n,s,p,p,e
490,f,n,s,p,p,e
491,f,n,s,p,p,e
492,f,p,s,p,p,p
493,f,k,s,p,p,p
494,f,w,s,p,p,e
495,f,w,s,p,p,e
496,f,k,s,p,p,e
497,f,h,f,p,e,e
498,f,p,s,p,p,e
499,f,n,s,p,p,e
500,f,w,s,p,p,e
501,f,w,s,p,p,e
502,f,g,s,p,p,e
503,f,g,s,p,p,e
504,f,w,s,p,p,e
505,f,w,s,p,p,e
506,f,n,s,p,p,p
507,f,p,s,p,e,e
508,f,p,f,p,e,e
509,f,n,s,p,p,e
510,f,p,s,p,p,e
511,f,k,s,p,p,e
512,f,k,s,p,p,e
513,f,n,s,p,p,e
514,f,n,s,p,p,e
515,f,k,s,p,p,e
516,f,h,f,p,e,e
517,f,n,s,p,p,e
518,f,k,s,p,p,e
519,f,k,s,p,p,e
520,f,k,s,p,p,e
521,f,w,s,p,p,e
522,f,n,s,p,p,e
523,f,p,s,p,p,e
524,f,n,s,p,p,p
525,f,n,s,p,p,e
526,f,w,s,p,p,e
527,f,w,s,p,p,e
528,f,k,s,p,p,e
529,f,k,s,p,p,e
530,f,w,s,p,p,e
531,f,n,s,p,p,e
532,f,n,s,p,p,e
533,f,n,s,p,p,p
534,f,w,s,p,p,e
535,f,k,s,p,p,p
536,f,k,f,p,e,e
537,f,k,s,p,p,e
538,f,p,s,p,p,e
539,f,g,s,p,p,e
540,f,p,s,p,p,e
541,f,n,s,p,p,e
542,f,p,s,p,e,e
543,f,n,s,p,p,p
544,f,p,s,p,p,e
545,f,n,s,p,e,e
546,f,w,s,p,p,e
547,f,g,s,p,p,e
548,f,g,s,p,p,e
549,f,p,s,p,p,e
550,f,g,s,p,p,e
551,f,n,s,p,p,e
552,f,h,f,p,e,e
553,f,p,s,p,p,e
554,f,p,s,p,p,e
555,f,k,s,p,p,e
556,f,p,s,p,p,e
557,f,k,s,p,p,p
558,f,w,s,p,p,e
559,f,w,s,p,p,e
560,f,g,s,p,p,e
561,f,g,s,p,p,e
562,f,w,s,p,p,e
563,f,n,s,p,p,e
564,f,n,f,p,e,e
565,f,w,s,p,p,e
566,f,w,s,p,p,p
567,f,g,s,p,p,e
568,f,k,s,p,e,e
569,f,n,s,p,p,p
570,f,w,s,p,p,e
571,f,k,s,p,p,e
572,f,n,s,p,p,e
573,f,k,s,p,p,e
574,f,w,s,p,p,e
575,f,w,s,p,p,e
576,f,w,s,p,p,e
577,f,p,s,p,p,e
578,f,n,s,p,p,e
579,f,w,s,p,p,e
580,f,w,s,p,p,p
581,f,g,s,p,p,e
582,f,w,s,p,p,e
583,f,k,s,p,p,e
584,f,n,s,p,p,e
585,f,w,s,p,p,e
586,f,k,s,p,p,e
587,f,g,s,p,p,e
588,f,n,s,p,p,e
589,f,n,s,p,p,e
590,f,n,s,p,p,e
591,f,k,s,p,p,p
592,f,h,s,p,e,e
593,f,g,s,p,p,e
594,f,k,s,p,p,p
595,f,g,s,p,p,e
596,f,p,s,p,p,p
597,f,n,s,p,p,e
598,f,g,s,p,p,e
599,f,p,s,p,p,p
600,f,n,s,p,p,p
601,f,n,s,p,e,e
602,f,w,s,p,p,e
603,f,k,f,p,e,e
604,f,n,s,p,p,e
605,f,w,s,p,p,e
606,f,n,s,p,p,e
607,f,n,s,p,e,e
608,f,n,s,p,p,e
609,f,w,s,p,p,e
610,f,n,s,p,p,e
611,f,h,f,p,e,e
612,f,n,s,p,e,e
613,f,p,s,p,e,e
614,f,k,s,p,p,p
615,f,p,s,p,p,e
616,f,g,s,p,p,e
617,f,p,s,p,e,e
618,f,g,s,p,p,e
619,f,n,s,p,p,e
620,f,n,s,p,p,e
621,f,p,s,p,p,e
622,f,w,s,p,p,e
623,f,n,s,p,p,e
624,f,n,s,p,p,e
625,f,p,s,p,p,e
626,f,g,s,p,p,e
627,f,w,s,p,p,e
628,f,p,s,p,p,e
629,f,g,s,p,p,e
630,f,k,s,p,p,e
631,f,n,s,p,e,e
632,f,k,s,p,p,e
633,f,n,s,p,p,e
634,f,n,s,p,p,e
635,f,p,s,p,p,e
636,f,w,s,p,p,e
637,f,p,s,p,p,e
638,f,n,s,p,p,e
639,f,h,s,p,e,e
640,f,g,s,p,p,e
641,f,w,s,p,p,e
642,f,n,s,p,p,e
643,f,w,s,p,p,e
644,f,w,s,p,p,e
645,f,n,s,p,p,e
646,f,n,s,p,p,e
647,f,g,s,p,p,e
648,f,k,s,p,p,e
649,f,n,s,p,p,e
650,f,p,s,p,p,e
651,f,n,s,p,p,e
652,f,n,s,p,p,e
653,f,w,s,p,p,e
654,f,w,s,p,p,p
655,f,w,s,p,p,p
656,f,g,s,p,p,e
657,f,k,s,p,e,e
658,f,g,s,p,p,e
659,f,w,s,p,p,e
660,f,k,s,p,p,e
661,f,n,s,p,p,e
662,f,k,s,p,p,e
663,f,n,s,p,p,p
664,f,k,s,p,p,p
665,f,g,s,p,p,e
666,f,w,s,p,p,e
667,f,w,s,p,p,e
668,f,p,s,p,p,e
669,f,n,s,p,p,e
670,f,w,s,p,p,e
671,f,k,s,p,p,e
672,f,p,s,p,p,e
673,f,p,s,p,e,e
674,f,w,s,p,p,e
675,f,w,s,p,p,e
676,f,g,s,p,p,e
677,f,k,s,p,p,e
678,f,n,s,p,p,e
679,f,w,s,p,p,e
680,f,g,s,p,p,e
681,f,n,s,p,p,e
682,f,n,s,p,p,e
683,f,w,s,p,p,e
684,f,w,s,p,p,e
685,f,p,s,p,p,e
686,f,g,s,p,p,e
687,f,k,s,p,p,e
688,f,n,s,p,p,e
689,f,w,s,p,p,e
690,f,k,s,p,p,e
691,f,w,s,p,p,e
692,f,k,s,p,p,e
693,f,p,s,p,p,e
694,f,k,f,p,e,e
695,f,p,s,p,p,p
696,f,n,s,p,p,e
697,f,w,s,p,p,e
698,f,w,s,p,p,p
699,f,p,s,p,p,p
700,f,n,f,p,e,e
701,f,w,s,p,p,p
702,f,h,s,p,e,e
703,f,n,s,p,p,e
704,f,k,s,p,p,e
705,f,p,s,p,p,e
706,f,p,s,p,p,e
707,f,k,s,p,p,e
708,f,p,s,p,p,e
709,f,k,s,p,p,e
710,f,g,s,p,p,e
711,f,w,s,p,p,e
712,f,p,f,p,e,e
713,f,w,s,p,p,e
714,f,w,s,p,p,e
715,f,k,s,p,p,e
716,f,n,s,p,p,e
717,f,k,s,p,p,e
718,f,n,s,p,p,e
719,f,n,s,p,p,e
720,f,g,s,p,p,e
721,f,n,s,p,p,e
722,f,k,s,p,p,e
723,f,w,s,p,p,e
724,f,p,s,p,e,e
725,f,n,s,p,p,e
726,f,k,s,p,p,p
727,f,w,s,p,p,e
728,f,h,f,p,e,e
729,f,n,s,p,p,e
730,f,w,s,p,p,e
731,f,w,s,p,p,e
732,f,n,f,p,e,e
733,f,k,s,p,p,p
734,f,p,s,p,p,p
735,f,g,s,p,p,e
736,f,w,s,p,p,e
737,f,w,s,p,p,e
738,f,w,s,p,p,p
739,f,g,s,p,p,e
740,f,p,s,p,p,e
741,f,p,s,p,p,e
742,f,n,s,p,p,e
743,f,p,s,p,p,e
744,f,k,s,p,p,e
745,f,n,s,p,p,e
746,f,n,s,p,p,e
747,f,w,s,p,p,e
748,f,w,s,p,p,e
749,f,w,s,p,p,p
750,f,n,s,p,p,e
751,f,n,s,p,p,e
752,f,k,s,p,p,e
753,f,n,s,p,p,e
754,f,w,s,p,p,e
755,f,k,s,p,p,e
756,f,n,s,p,p,e
757,f,n,s,p,p,e
758,f,n,f,p,e,e
759,f,w,s,p,p,e
760,f,n,s,p,p,e
761,f,g,s,p,p,e
762,f,p,s,p,p,e
763,f,g,s,p,p,e
764,f,g,s,p,p,e
765,f,w,s,p,p,e
766,f,k,s,p,e,e
767,f,p,s,p,p,e
768,f,g,s,p,p,e
769,f,g,s,p,p,e
770,f,k,s,p,p,e
771,f,w,s,p,p,e
772,f,k,s,p,p,e
773,f,k,s,p,p,e
774,f,p,s,p,p,e
775,f,h,f,p,e,e
776,f,p,s,p,p,e
777,f,k,s,p,p,p
778,f,p,s,p,p,e
779,f,n,s,p,p,e
780,f,w,s,p,p,e
781,f,w,s,p,p,e
782,f,g,s,p,p,e
783,f,w,s,p,p,e
784,f,n,s,p,p,e
785,f,w,s,p,p,e
786,f,w,s,p,p,p
787,f,n,s,p,p,e
788,f,w,s,p,p,e
789,f,k,s,p,p,p
790,f,p,s,p,p,e
791,f,k,s,p,p,e
792,f,p,s,p,p,e
793,f,k,s,p,p,e
794,f,n,s,p,p,e
795,f,p,s,p,p,p
796,f,n,s,p,p,p
797,f,n,s,p,p,e
798,f,h,f,p,e,e
799,f,k,s,p,p,p
800,f,w,s,p,p,e
801,f,n,s,p,p,e
802,f,w,s,p,p,e
803,f,n,s,p,p,p
804,f,w,s,p,p,e
805,f,k,s,p,p,e
806,f,w,s,p,p,e
807,f,k,s,p,p,e
808,f,p,s,p,p,e
809,f,n,s,p,p,e
810,f,p,s,p,p,e
811,f,g,s,p,p,e
812,f,n,s,p,p,e
813,f,p,s,p,p,p
814,f,w,s,p,p,p
815,f,k,s,p,p,p
816,f,n,s,p,p,e
817,f,p,s,p,p,e
818,f,n,s,p,p,e
819,f,w,s,p,p,e
820,f,k,s,p,p,e
821,f,w,s,p,p,e
822,f,k,s,p,p,e
823,f,n,s,p,p,e
824,f,g,s,p,p,e
825,f,w,s,p,p,e
826,f,w,s,p,p,e
827,f,n,s,p,p,e
828,f,w,s,p,p,e
829,f,g,s,p,p,e
830,f,p,s,p,p,e
831,f,p,s,p,p,e
832,f,w,s,p,p,e
833,f,p,s,p,p,e
834,f,w,s,p,p,e
835,f,p,s,p,p,e
836,f,k,s,p,p,p
837,f,n,s,p,p,e
838,f,p,s,p,p,p
839,f,w,s,p,p,e
840,f,w,s,p,p,e
841,f,w,s,p,p,e
842,f,w,s,p,p,p
843,f,n,s,p,p,e
844,f,n,s,p,p,e
845,f,g,s,p,p,e
846,f,k,s,p,e,e
847,f,n,s,p,p,e
848,f,g,s,p,p,e
849,f,k,s,p,p,e
850,f,w,s,p,p,e
851,f,k,s,p,p,e
852,f,p,s,p,p,e
853,f,g,s,p,p,e
854,f,p,f,p,e,e
855,f,n,s,p,p,e
856,f,p,s,p,p,e
857,f,n,s,p,p,e
858,f,n,s,p,p,e
859,f,k,s,p,p,e
860,f,p,s,p,p,p
861,f,w,s,p,p,e
862,f,w,s,p,p,e
863,f,p,s,p,p,e
864,f,g,s,p,p,e
865,f,w,s,p,p,e
866,f,k,s,p,p,e
867,f,n,s,p,p,e
868,f,p,s,p,p,e
869,f,p,s,p,p,e
870,f,k,s,p,p,e
871,f,p,s,p,p,e
872,f,w,s,p,p,e
873,f,k,s,p,p,e
874,f,n,s,p,p,e
875,f,n,s,p,p,e
876,f,p,s,p,p,e
877,f,k,s,p,p,e
878,f,k,s,p,p,e
879,f,w,s,p,p,e
880,f,n,s,p,p,e
881,f,w,s,p,p,e
882,f,n,s,p,e,e
883,f,w,s,p,p,e
884,f,n,s,p,p,e
885,f,n,s,p,p,e
886,f,p,s,p,p,e
887,f,n,s,p,p,e
888,f,n,s,p,p,e
889,f,w,s,p,p,e
890,f,g,s,p,p,e
891,f,u,s,p,p,e
892,f,p,s,p,p,e
893,f,n,s,p,p,e
894,f,g,s,p,p,e
895,f,k,s,p,p,e
896,f,p,s,p,p,e
897,f,k,s,p,p,e
898,f,k,s,p,p,e
899,f,k,s,p,p,e
900,f,n,s,p,p,e
901,f,n,s,p,p,e
902,f,n,f,p,e,e
903,f,p,f,p,e,e
904,f,h,f,p,e,e
905,f,w,s,p,p,e
906,f,p,f,p,e,e
907,f,n,s,p,p,p
908,f,p,f,p,e,e
909,f,p,s,p,p,p
910,f,w,s,p,p,p
911,f,k,s,p,p,e
912,f,p,f,p,e,e
913,f,g,s,p,p,e
914,f,n,s,p,e,e
915,f,k,s,p,e,e
916,f,k,s,p,p,e
917,f,n,s,p,p,e
918,f,n,s,p,p,e
919,f,k,f,p,e,e
920,f,h,s,p,e,e
921,f,p,f,p,e,e
922,f,p,f,p,e,e
923,f,n,s,p,p,e
924,f,w,s,p,p,e
925,f,k,f,p,e,e
926,f,h,f,p,e,e
927,f,k,f,p,e,e
928,f,w,s,p,p,p
929,f,k,s,p,p,e
930,f,n,s,p,p,e
931,f,h,s,p,e,e
932,f,n,s,p,e,e
933,f,n,s,p,p,p
934,f,k,s,p,p,e
935,f,n,s,p,p,e
936,f,p,s,p,e,e
937,f,w,s,p,p,e
938,f,p,s,p,e,e
939,f,n,f,p,e,e
940,f,u,s,p,p,e
941,f,n,s,p,p,e
942,f,n,f,p,e,e
943,f,w,s,p,p,p
944,f,p,s,p,e,e
945,f,n,s,p,p,e
946,f,h,f,p,e,e
947,f,n,f,p,e,e
948,f,w,s,p,p,e
949,f,n,f,p,e,e
950,f,w,s,p,p,p
951,f,w,s,p,p,p
952,f,n,s,p,p,e
953,f,h,s,p,e,e
954,f,n,s,p,e,e
955,f,h,f,p,e,e
956,f,k,s,p,p,e
957,f,w,s,p,p,p
958,f,n,s,p,p,e
959,f,n,s,p,p,e
960,f,k,s,p,p,e
961,f,n,f,p,e,e
962,f,h,f,p,e,e
963,f,n,s,p,p,e
964,f,n,s,p,p,e
965,f,k,f,p,e,e
966,f,n,s,p,e,e
967,f,w,s,p,p,p
968,f,n,s,p,p,e
969,f,k,f,p,e,e
970,f,k,s,p,e,e
971,f,n,f,p,e,e
972,f,n,s,p,p,e
973,f,n,s,p,p,e
974,f,n,s,p,e,e
975,f,u,s,p,p,e
976,f,p,f,p,e,e
977,f,n,s,p,p,e
978,f,n,s,p,p,e
979,f,k,s,p,p,e
980,f,p,f,p,e,e
981,f,u,s,p,p,e
982,f,g,s,p,p,e
983,f,h,s,p,e,e
984,f,k,s,p,e,e
985,f,n,s,p,p,p
986,f,n,f,p,e,e
987,f,n,f,p,e,e
988,f,n,s,p,e,e
989,f,k,s,p,e,e
990,f,n,s,p,p,e
991,f,n,s,p,p,e
992,f,p,s,p,e,e
993,f,p,f,p,e,e
994,f,n,s,p,p,e
