id,cap-surface,odor,gill-attachment,gill-spacing,gill-size,stalk-root,stalk-color-below-ring,ring-number,ring-type
121,s,p,f,c,n,e,w,o,p
122,y,a,f,c,b,c,w,o,p
123,y,p,f,c,n,e,w,o,p
124,s,n,f,w,b,e,w,o,e
125,s,l,f,c,b,c,w,o,p
126,s,n,f,w,b,e,w,o,e
127,s,a,f,c,b,c,w,o,p
128,f,n,f,w,b,e,w,o,e
129,s,l,f,c,b,c,w,o,p
130,s,l,f,c,b,c,w,o,p
131,s,l,f,c,b,c,w,o,p
132,y,l,f,c,b,c,w,o,p
133,s,l,f,w,n,b,w,o,p
134,y,l,f,c,b,c,w,o,p
135,s,a,f,w,n,b,w,o,p
136,y,p,f,c,n,e,w,o,p
137,f,l,f,w,n,b,w,o,p
138,y,a,f,c,b,c,w,o,p
139,s,p,f,c,n,e,w,o,p
140,s,l,f,c,b,c,w,o,p
141,y,a,f,c,b,r,w,o,p
142,y,l,f,c,b,c,w,o,p
143,f,n,f,c,n,e,w,o,p
144,y,a,f,c,b,r,w,o,p
145,y,a,f,c,b,c,w,o,p
146,f,n,f,w,b,e,w,o,e
147,f,n,f,w,b,e,w,o,e
148,y,l,f,c,b,c,w,o,p
149,s,l,f,c,b,c,w,o,p
150,y,a,f,c,b,c,w,o,p
151,y,a,f,c,b,c,w,o,p
152,s,n,f,w,b,e,w,o,e
153,y,l,f,c,b,c,w,o,p
154,f,n,f,c,n,e,w,o,p
155,s,a,f,w,n,b,w,o,p
156,y,l,f,c,b,r,w,o,p
157,y,a,f,c,b,c,w,o,p
158,y,a,f,c,b,c,w,o,p
159,y,a,f,c,b,c,w,o,p
160,s,a,f,c,b,c,w,o,p
161,s,l,f,c,b,c,w,o,p
162,y,a,f,c,b,c,w,o,p
163,f,n,f,c,n,e,w,o,p
164,y,l,f,c,b,r,w,o,p
165,y,a,f,c,b,c,w,o,p
166,y,l,f,c,b,r,w,o,p
167,s,a,f,c,b,c,w,o,p
168,s,a,f,c,b,c,w,o,p
169,y,l,f,c,b,r,w,o,p
170,s,a,f,c,b,c,w,o,p
171,f,n,f,c,n,e,w,o,p
172,s,l,f,c,b,c,w,o,p
173,f,l,f,w,n,b,w,o,p
174,y,a,f,c,b,c,w,o,p
175,y,l,f,c,b,r,w,o,p
176,y,l,f,c,b,c,w,o,p
177,y,a,f,c,b,c,w,o,p
178,y,a,f,c,b,c,w,o,p
179,y,l,f,c,b,c,w,o,p
180,s,l,f,c,b,c,w,o,p
181,y,p,f,c,n,e,w,o,p
182,f,n,f,c,n,e,w,o,p
183,f,n,f,c,n,e,w,o,p
184,s,a,f,c,b,c,w,o,p
185,y,a,f,c,b,r,w,o,p
186,y,p,f,c,n,e,w,o,p
187,s,l,f,c,b,c,w,o,p
188,f,n,f,c,n,e,w,o,p
189,y,l,f,c,b,c,w,o,p
190,y,a,f,c,b,r,w,o,p
191,f,n,f,w,b,e,w,o,e
192,s,l,f,w,n,b,w,o,p
193,s,l,f,c,b,c,w,o,p
194,s,a,f,w,n,b,w,o,p
195,s,a,f,c,b,c,w,o,p
196,f,n,f,c,n,e,w,o,p
197,s,a,f,c,b,c,w,o,p
198,s,l,f,c,b,c,w,o,p
199,y,l,f,c,b,c,w,o,p
200,s,a,f,w,n,b,w,o,p
201,y,l,f,c,b,c,w,o,p
202,s,l,f,c,b,c,w,o,p
203,s,a,f,c,b,c,w,o,p
204,f,n,f,w,b,e,w,o,e
205,y,l,f,c,b,r,w,o,p
206,s,p,f,c,n,e,w,o,p
207,s,a,f,c,b,c,w,o,p
208,s,a,f,c,b,c,w,o,p
209,y,l,f,c,b,c,w,o,p
210,y,a,f,c,b,c,w,o,p
211,s,a,f,c,b,c,w,o,p
212,s,l,f,c,b,c,w,o,p
213,f,a,f,w,n,b,w,o,p
214,f,n,f,c,n,e,w,o,p
215,y,a,f,c,b,r,w,o,p
216,s,l,f,c,b,c,w,o,p
217,s,a,f,c,b,c,w,o,p
218,y,a,f,c,b,c,w,o,p
219,y,l,f,c,b,c,w,o,p
220,f,n,f,c,n,e,w,o,p
221,s,a,f,c,b,c,w,o,p
222,s,p,f,c,n,e,w,o,p
223,y,a,f,c,b,r,w,o,p
224,f,a,f,w,n,b,w,o,p
225,y,l,f,c,b,c,w,o,p
226,y,l,f,c,b,c,w,o,p
227,s,a,f,c,b,c,w,o,p
228,s,a,f,c,b,c,w,o,p
229,y,p,f,c,n,e,w,o,p
230,s,a,f,c,b,c,w,o,p
231,f,n,f,c,n,e,w,o,p
232,y,p,f,c,n,e,w,o,p
233,y,l,f,c,b,r,w,o,p
234,f,n,f,c,n,e,w,o,p
235,s,l,f,c,b,c,w,o,p
236,f,l,f,w,n,b,w,o,p
237,y,l,f,c,b,c,w,o,p
238,y,l,f,c,b,c,w,o,p
239,y,l,f,c,b,r,w,o,p
240,y,a,f,c,b,r,w,o,p
241,y,a,f,c,b,r,w,o,p
242,s,l,f,c,b,c,w,o,p
243,s,a,f,c,b,c,w,o,p
244,s,p,f,c,n,e,w,o,p
245,f,a,f,w,n,b,w,o,p
246,s,l,f,c,b,c,w,o,p
247,s,l,f,w,n,b,w,o,p
248,y,a,f,c,b,c,w,o,p
249,y,l,f,c,b,r,w,o,p
250,s,n,f,w,b,e,w,o,e
251,y,a,f,c,b,r,w,o,p
252,s,p,f,c,n,e,w,o,p
253,f,n,f,c,n,e,w,o,p
254,y,l,f,c,b,c,w,o,p
255,s,l,f,c,b,c,w,o,p
256,y,l,f,c,b,c,w,o,p
257,f,n,f,c,n,e,w,o,p
258,s,a,f,c,b,c,w,o,p
259,y,l,f,c,b,c,w,o,p
260,y,a,f,c,b,c,w,o,p
261,y,l,f,c,b,r,w,o,p
262,y,p,f,c,n,e,w,o,p
263,s,a,f,c,b,c,w,o,p
264,y,a,f,c,b,c,w,o,p
265,f,l,f,w,n,b,w,o,p
266,f,n,f,c,n,e,w,o,p
267,s,n,f,w,b,e,w,o,e
268,y,a,f,c,b,c,w,o,p
269,s,a,f,c,b,c,w,o,p
270,y,p,f,c,n,e,w,o,p
271,s,l,f,c,b,c,w,o,p
272,s,p,f,c,n,e,w,o,p
273,y,l,f,c,b,c,w,o,p
274,y,a,f,c,b,c,w,o,p
275,y,a,f,c,b,r,w,o,p
276,y,a,f,c,b,r,w,o,p
277,y,a,f,c,b,r,w,o,p
278,y,a,f,c,b,c,w,o,p
279,f,n,f,w,b,e,w,o,e
280,s,l,f,c,b,c,w,o,p
281,y,p,f,c,n,e,w,o,p
282,y,a,f,c,b,c,w,o,p
283,f,n,f,c,n,e,w,o,p
284,s,l,f,c,b,c,w,o,p
285,y,l,f,c,b,c,w,o,p
286,y,a,f,c,b,r,w,o,p
287,y,a,f,c,b,c,w,o,p
288,y,a,f,c,b,c,w,o,p
289,y,l,f,c,b,r,w,o,p
290,f,n,f,c,n,e,w,o,p
291,f,n,f,c,n,e,w,o,p
292,y,l,f,c,b,c,w,o,p
293,s,l,f,c,b,c,w,o,p
294,y,l,f,c,b,c,w,o,p
295,s,a,f,c,b,c,w,o,p
296,s,a,f,c,b,c,w,o,p
297,s,a,f,c,b,c,w,o,p
298,f,n,f,w,b,e,w,o,e
299,s,a,f,w,n,b,w,o,p
300,y,p,f,c,n,e,w,o,p
301,f,n,f,w,b,e,w,o,e
302,y,a,f,c,b,c,w,o,p
303,s,l,f,w,n,b,w,o,p
304,y,a,f,c,b,c,w,o,p
305,y,l,f,c,b,c,w,o,p
306,f,n,f,c,b,b,p,o,p
307,y,l,f,c,b,c,w,o,p
308,s,l,f,c,b,c,w,o,p
309,y,a,f,c,b,r,w,o,p
310,f,n,f,w,b,e,w,o,e
311,s,l,f,c,b,c,w,o,p
312,y,p,f,c,n,e,w,o,p
313,y,l,f,c,b,c,w,o,p
314,f,a,f,w,n,b,w,o,p
315,s,a,f,c,b,c,w,o,p
316,y,p,f,c,n,e,w,o,p
317,s,a,f,w,n,b,w,o,p
318,y,a,f,c,b,c,w,o,p
319,f,l,f,w,n,b,w,o,p
320,s,l,f,w,n,b,w,o,p
321,y,l,f,c,b,c,w,o,p
322,f,a,f,w,n,b,w,o,p
323,s,a,f,c,b,c,w,o,p
324,y,a,f,c,b,c,w,o,p
325,y,l,f,c,b,r,w,o,p
326,y,l,f,c,b,c,w,o,p
327,s,a,f,c,b,c,w,o,p
328,y,p,f,c,n,e,w,o,p
329,s,l,f,c,b,c,w,o,p
330,y,a,f,c,b,c,w,o,p
331,y,p,f,c,n,e,w,o,p
332,s,l,f,c,b,c,w,o,p
333,y,l,f,c,b,c,w,o,p
334,y,a,f,c,b,c,w,o,p
335,y,l,f,c,b,c,w,o,p
336,f,n,f,c,b,b,w,o,p
337,y,a,f,c,b,r,w,o,p
338,s,l,f,c,b,c,w,o,p
339,f,n,f,c,n,e,w,o,p
340,y,l,f,c,b,r,w,o,p
341,s,a,f,c,b,c,w,o,p
342,y,a,f,c,b,c,w,o,p
343,s,a,f,c,b,c,w,o,p
344,f,a,f,w,n,b,w,o,p
345,y,l,f,c,b,c,w,o,p
346,f,n,f,w,b,e,w,o,e
347,f,l,f,w,n,b,w,o,p
348,s,a,f,c,b,c,w,o,p
349,s,n,f,w,b,e,w,o,e
350,f,n,f,c,n,e,w,o,p
351,s,n,f,w,b,e,w,o,e
352,y,a,f,c,b,r,w,o,p
353,y,a,f,c,b,c,w,o,p
354,s,a,f,c,b,c,w,o,p
355,y,l,f,c,b,r,w,o,p
356,f,n,f,c,n,e,w,o,p
357,y,a,f,c,b,r,w,o,p
358,y,p,f,c,n,e,w,o,p
359,y,a,f,c,b,r,w,o,p
360,y,a,f,c,b,c,w,o,p
361,f,n,f,w,b,e,w,o,e
362,f,n,f,w,b,e,w,o,e
363,s,n,f,w,b,e,w,o,e
364,y,a,f,c,b,r,w,o,p
365,s,a,f,c,b,c,w,o,p
366,f,n,f,c,n,e,w,o,p
367,y,a,f,c,b,r,w,o,p
368,f,a,f,w,n,b,w,o,p
369,y,a,f,c,b,c,w,o,p
370,f,n,f,w,b,e,w,o,e
371,y,a,f,c,b,r,w,o,p
372,y,l,f,c,b,r,w,o,p
373,s,a,f,c,b,c,w,o,p
374,f,n,f,c,n,e,w,o,p
375,s,a,f,c,b,c,w,o,p
376,s,l,f,c,b,c,w,o,p
377,f,n,f,c,n,e,w,o,p
378,y,l,f,c,b,c,w,o,p
379,y,l,f,c,b,c,w,o,p
380,y,a,f,c,b,c,w,o,p
381,y,p,f,c,n,e,w,o,p
382,s,n,f,w,b,e,w,o,e
383,y,a,f,c,b,c,w,o,p
384,s,a,f,c,b,c,w,o,p
385,f,n,f,c,b,b,w,o,p
386,s,p,f,c,n,e,w,o,p
387,y,l,f,c,b,r,w,o,p
388,s,n,f,w,b,e,w,o,e
389,y,l,f,c,b,c,w,o,p
390,s,a,f,c,b,c,w,o,p
391,s,a,f,c,b,c,w,o,p
392,s,l,f,c,b,c,w,o,p
393,y,a,f,c,b,c,w,o,p
394,f,n,f,c,n,e,w,o,p
395,y,a,f,c,b,r,w,o,p
396,f,n,f,w,b,e,w,o,e
397,s,l,f,c,b,c,w,o,p
398,y,l,f,c,b,c,w,o,p
399,f,n,f,c,n,e,w,o,p
400,s,p,f,c,n,e,w,o,p
401,y,l,f,c,b,c,w,o,p
402,y,a,f,c,b,c,w,o,p
403,y,p,f,c,n,e,w,o,p
404,s,l,f,c,b,c,w,o,p
405,s,l,f,c,b,c,w,o,p
406,y,l,f,c,b,c,w,o,p
407,y,l,f,c,b,c,w,o,p
408,s,a,f,c,b,c,w,o,p
409,s,a,f,c,b,c,w,o,p
410,y,l,f,c,b,r,w,o,p
411,s,a,f,c,b,c,w,o,p
412,s,n,f,w,b,e,w,o,e
413,y,l,f,c,b,r,w,o,p
414,y,l,f,c,b,r,w,o,p
415,y,p,f,c,n,e,w,o,p
416,y,a,f,c,b,c,w,o,p
417,f,l,f,w,n,b,w,o,p
418,s,p,f,c,n,e,w,o,p
419,y,l,f,c,b,c,w,o,p
420,f,n,f,w,b,e,w,o,e
421,y,l,f,c,b,c,w,o,p
422,y,a,f,c,b,c,w,o,p
423,y,p,f,c,n,e,w,o,p
424,y,l,f,c,b,r,w,o,p
425,s,l,f,c,b,c,w,o,p
426,s,a,f,w,n,b,w,o,p
427,y,a,f,c,b,r,w,o,p
428,s,a,f,c,b,c,w,o,p
429,s,n,f,w,b,e,w,o,e
430,f,n,f,c,n,e,w,o,p
431,y,a,f,c,b,c,w,o,p
432,y,l,f,c,b,r,w,o,p
433,s,l,f,c,b,c,w,o,p
434,s,l,f,c,b,c,w,o,p
435,s,l,f,w,n,b,w,o,p
436,s,a,f,c,b,c,w,o,p
437,f,a,f,w,n,b,w,o,p
438,y,l,f,c,b,c,w,o,p
439,y,l,f,c,b,c,w,o,p
440,y,a,f,c,b,r,w,o,p
441,y,l,f,c,b,c,w,o,p
442,y,l,f,c,b,c,w,o,p
443,y,a,f,c,b,r,w,o,p
444,y,l,f,c,b,c,w,o,p
445,s,l,f,c,b,c,w,o,p
446,y,l,f,c,b,r,w,o,p
447,s,l,f,c,b,c,w,o,p
448,y,l,f,c,b,r,w,o,p
449,s,l,f,c,b,c,w,o,p
450,f,n,f,c,b,b,p,o,p
451,y,l,f,c,b,c,w,o,p
452,s,l,f,c,b,c,w,o,p
453,s,l,f,c,b,c,w,o,p
454,f,l,f,w,n,b,w,o,p
455,s,l,f,c,b,c,w,o,p
456,s,n,f,w,b,e,w,o,e
457,s,a,f,c,b,c,w,o,p
458,s,l,f,c,b,c,w,o,p
459,y,a,f,c,b,r,w,o,p
460,y,a,f,c,b,r,w,o,p
461,s,a,f,c,b,c,w,o,p
462,y,l,f,c,b,r,w,o,p
463,s,a,f,c,b,c,w,o,p
464,y,a,f,c,b,c,w,o,p
465,f,n,f,c,n,e,w,o,p
466,y,a,f,c,b,r,w,o,p
467,s,a,f,c,b,c,w,o,p
468,s,l,f,c,b,c,w,o,p
469,y,l,f,c,b,c,w,o,p
470,y,a,f,c,b,r,w,o,p
471,y,l,f,c,b,c,w,o,p
472,y,a,f,c,b,c,w,o,p
473,f,a,f,w,n,b,w,o,p
474,f,n,f,c,n,e,w,o,p
475,s,l,f,w,n,b,w,o,p
476,f,n,f,c,n,e,w,o,p
477,f,n,f,c,n,e,w,o,p
478,y,a,f,c,b,c,w,o,p
479,s,a,f,w,n,b,w,o,p
480,y,l,f,c,b,c,w,o,p
481,y,a,f,c,b,c,w,o,p
482,y,l,f,c,b,c,w,o,p
483,s,l,f,w,n,b,w,o,p
484,f,n,f,c,n,e,w,o,p
485,s,a,f,w,n,b,w,o,p
486,y,a,f,c,b,r,w,o,p
487,y,l,f,c,b,c,w,o,p
488,f,n,f,c,n,e,w,o,p
489,y,l,f,c,b,r,w,o,p
490,y,a,f,c,b,r,w,o,p
491,f,a,f,w,n,b,w,o,p
492,s,p,f,c,n,e,w,o,p
493,s,p,f,c,n,e,w,o,p
494,y,l,f,c,b,r,w,o,p
495,y,a,f,c,b,r,w,o,p
496,s,a,f,c,b,c,w,o,p
497,f,n,f,w,b,e,w,o,e
498,y,a,f,c,b,r,w,o,p
499,y,a,f,c,b,c,w,o,p
500,s,l,f,c,b,c,w,o,p
501,s,a,f,c,b,c,w,o,p
502,y,a,f,c,b,c,w,o,p
503,s,l,f,c,b,c,w,o,p
504,s,a,f,c,b,c,w,o,p
505,y,a,f,c,b,c,w,o,p
506,s,p,f,c,n,e,w,o,p
507,s,n,f,w,b,e,w,o,e
508,s,n,f,w,b,e,w,o,e
509,f,a,f,w,n,b,w,o,p
510,f,n,f,c,n,e,w,o,p
511,f,n,f,c,n,e,w,o,p
512,y,a,f,c,b,c,w,o,p
513,f,a,f,w,n,b,w,o,p
514,f,n,f,c,n,e,w,o,p
515,f,n,f,c,n,e,w,o,p
516,f,n,f,w,b,e,w,o,e
517,y,l,f,c,b,r,w,o,p
518,s,a,f,c,b,c,w,o,p
519,y,l,f,c,b,c,w,o,p
520,y,a,f,c,b,c,w,o,p
521,s,l,f,c,b,c,w,o,p
522,s,l,f,c,b,c,w,o,p
523,y,a,f,c,b,r,w,o,p
524,s,p,f,c,n,e,w,o,p
525,f,n,f,c,n,e,w,o,p
526,s,l,f,c,b,c,w,o,p
527,y,a,f,c,b,r,w,o,p
528,s,a,f,c,b,c,w,o,p
529,f,n,f,c,n,e,w,o,p
530,y,a,f,c,b,r,w,o,p
531,y,a,f,c,b,r,w,o,p
532,s,a,f,c,b,c,w,o,p
533,y,p,f,c,n,e,w,o,p
534,y,l,f,c,b,r,w,o,p
535,s,p,f,c,n,e,w,o,p
536,f,n,f,w,b,e,w,o,e
537,y,a,f,c,b,c,w,o,p
538,f,n,f,c,n,e,w,o,p
539,y,l,f,c,b,c,w,o,p
540,s,a,f,w,n,b,w,o,p
541,s,a,f,c,b,c,w,o,p
542,f,n,f,w,b,e,w,o,e
543,y,p,f,c,n,e,w,o,p
544,y,a,f,c,b,r,w,o,p
545,f,n,f,w,b,e,w,o,e
546,s,a,f,c,b,c,w,o,p
547,y,l,f,c,b,c,w,o,p
548,f,n,f,c,n,e,w,o,p
549,f,l,f,w,n,b,w,o,p
550,s,a,f,c,b,c,w,o,p
551,f,n,f,c,n,e,w,o,p
552,f,n,f,w,b,e,w,o,e
553,y,l,f,c,b,r,w,o,p
554,s,l,f,w,n,b,w,o,p
555,s,l,f,c,b,c,w,o,p
556,y,a,f,c,b,r,w,o,p
557,y,p,f,c,n,e,w,o,p
558,f,l,f,w,n,b,w,o,p
559,s,l,f,c,b,c,w,o,p
560,y,a,f,c,b,c,w,o,p
561,s,a,f,c,b,c,w,o,p
562,s,a,f,w,n,b,w,o,p
563,s,a,f,w,n,b,w,o,p
564,f,n,f,w,b,e,w,o,e
565,s,a,f,c,b,c,w,o,p
566,y,p,f,c,n,e,w,o,p
567,y,a,f,c,b,c,w,o,p
568,s,n,f,w,b,e,w,o,e
569,s,p,f,c,n,e,w,o,p
570,y,a,f,c,b,c,w,o,p
571,s,a,f,c,b,c,w,o,p
572,f,l,f,w,n,b,w,o,p
573,s,a,f,c,b,c,w,o,p
574,y,l,f,c,b,c,w,o,p
575,y,a,f,c,b,r,w,o,p
576,s,l,f,c,b,c,w,o,p
577,f,n,f,c,n,e,w,o,p
578,s,l,f,c,b,c,w,o,p
579,y,l,f,c,b,r,w,o,p
580,s,p,f,c,n,e,w,o,p
581,s,a,f,c,b,c,w,o,p
582,s,a,f,c,b,c,w,o,p
583,y,l,f,c,b,c,w,o,p
584,y,a,f,c,b,r,w,o,p
585,y,a,f,c,b,r,w,o,p
586,y,a,f,c,b,c,w,o,p
587,f,n,f,c,n,e,w,o,p
588,f,n,f,c,n,e,w,o,p
589,f,n,f,c,n,e,w,o,p
590,y,a,f,c,b,c,w,o,p
591,s,p,f,c,n,e,w,o,p
592,s,n,f,w,b,e,w,o,e
593,y,l,f,c,b,c,w,o,p
594,y,p,f,c,n,e,w,o,p
595,s,a,f,c,b,c,w,o,p
596,s,p,f,c,n,e,w,o,p
597,s,l,f,c,b,c,w,o,p
598,y,l,f,c,b,c,w,o,p
599,y,p,f,c,n,e,w,o,p
600,s,p,f,c,n,e,w,o,p
601,s,n,f,w,b,e,w,o,e
602,y,l,f,c,b,r,w,o,p
603,f,n,f,w,b,e,w,o,e
604,y,l,f,c,b,r,w,o,p
605,y,l,f,c,b,c,w,o,p
606,s,a,f,c,b,c,w,o,p
607,s,n,f,w,b,e,w,o,e
608,y,a,f,c,b,r,w,o,p
609,s,l,f,c,b,c,w,o,p
610,f,n,f,c,n,e,w,o,p
611,s,n,f,w,b,e,w,o,e
612,f,n,f,w,b,e,w,o,e
613,s,n,f,w,b,e,w,o,e
614,s,p,f,c,n,e,w,o,p
615,y,l,f,c,b,r,w,o,p
616,s,l,f,c,b,c,w,o,p
617,f,n,f,w,b,e,w,o,e
618,y,l,f,c,b,c,w,o,p
619,s,a,f,c,b,c,w,o,p
620,f,n,f,c,n,e,w,o,p
621,y,l,f,c,b,r,w,o,p
622,s,l,f,c,b,c,w,o,p
623,f,l,f,w,n,b,w,o,p
624,y,a,f,c,b,r,w,o,p
625,f,n,f,c,n,e,w,o,p
626,s,l,f,c,b,c,w,o,p
627,f,l,f,w,n,b,w,o,p
628,f,n,f,c,n,e,w,o,p
629,y,a,f,c,b,c,w,o,p
630,s,a,f,c,b,c,w,o,p
631,f,n,f,w,b,e,w,o,e
632,y,a,f,c,b,c,w,o,p
633,f,n,f,c,b,b,g,o,p
634,y,l,f,c,b,r,w,o,p
635,y,a,f,c,b,r,w,o,p
636,y,a,f,c,b,c,w,o,p
637,y,a,f,c,b,r,w,o,p
638,y,l,f,c,b,c,w,o,p
639,s,n,f,w,b,e,w,o,e
640,y,a,f,c,b,c,w,o,p
641,y,l,f,c,b,c,w,o,p
642,y,a,f,c,b,r,w,o,p
643,y,l,f,c,b,r,w,o,p
644,y,a,f,c,b,r,w,o,p
645,y,l,f,c,b,r,w,o,p
646,s,l,f,w,n,b,w,o,p
647,y,a,f,c,b,c,w,o,p
648,s,l,f,c,b,c,w,o,p
649,y,a,f,c,b,c,w,o,p
650,f,l,f,w,n,b,w,o,p
651,s,a,f,c,b,c,w,o,p
652,s,l,f,c,b,c,w,o,p
653,y,a,f,c,b,r,w,o,p
654,y,p,f,c,n,e,w,o,p
655,y,p,f,c,n,e,w,o,p
656,s,l,f,c,b,c,w,o,p
657,f,n,f,w,b,e,w,o,e
658,s,a,f,c,b,c,w,o,p
659,y,l,f,c,b,r,w,o,p
660,f,n,f,c,n,e,w,o,p
661,s,a,f,c,b,c,w,o,p
662,s,l,f,c,b,c,w,o,p
663,y,p,f,c,n,e,w,o,p
664,s,p,f,c,n,e,w,o,p
665,s,l,f,c,b,c,w,o,p
666,s,a,f,c,b,c,w,o,p
667,y,a,f,c,b,r,w,o,p
668,y,l,f,c,b,r,w,o,p
669,y,l,f,c,b,r,w,o,p
670,y,a,f,c,b,c,w,o,p
671,s,a,f,c,b,c,w,o,p
672,f,n,f,c,n,e,w,o,p
673,f,n,f,w,b,e,w,o,e
674,f,l,f,w,n,b,w,o,p
675,y,l,f,c,b,r,w,o,p
676,f,n,f,c,n,e,w,o,p
677,f,n,f,c,n,e,w,o,p
678,y,l,f,c,b,r,w,o,p
679,y,l,f,c,b,r,w,o,p
680,s,a,f,c,b,c,w,o,p
681,s,l,f,w,n,b,w,o,p
682,y,a,f,c,b,c,w,o,p
683,f,a,f,w,n,b,w,o,p
684,s,a,f,c,b,c,w,o,p
685,f,n,f,c,b,b,w,o,p
686,y,a,f,c,b,c,w,o,p
687,f,n,f,c,n,e,w,o,p
688,y,a,f,c,b,c,w,o,p
689,y,l,f,c,b,c,w,o,p
690,s,a,f,c,b,c,w,o,p
691,s,a,f,c,b,c,w,o,p
692,y,l,f,c,b,c,w,o,p
693,y,a,f,c,b,r,w,o,p
694,s,n,f,w,b,e,w,o,e
