id,cap-color,odor,gill-attachment,stalk-root,stalk-surface-above-ring,veil-color,ring-number
139,n,p,f,e,s,w,o
140,y,l,f,c,s,w,o
141,n,a,f,r,s,w,o
142,y,l,f,c,s,w,o
143,n,n,f,e,s,w,o
144,n,a,f,r,s,w,o
145,y,a,f,c,s,w,o
146,g,n,f,e,f,w,o
147,w,n,f,e,s,w,o
148,y,l,f,c,s,w,o
149,y,l,f,c,s,w,o
150,w,a,f,c,s,w,o
151,w,a,f,c,s,w,o
152,n,n,f,e,f,w,o
153,w,l,f,c,s,w,o
154,n,n,f,e,s,w,o
155,w,a,f,b,s,w,o
156,n,l,f,r,s,w,o
157,y,a,f,c,s,w,o
158,w,a,f,c,s,w,o
159,w,a,f,c,s,w,o
160,y,a,f,c,s,w,o
161,y,l,f,c,s,w,o
162,y,a,f,c,s,w,o
163,n,n,f,e,s,w,o
164,n,l,f,r,s,w,o
165,w,a,f,c,s,w,o
166,y,l,f,r,s,w,o
167,w,a,f,c,s,w,o
168,w,a,f,c,s,w,o
169,n,l,f,r,s,w,o
170,w,a,f,c,s,w,o
171,g,n,f,e,s,w,o
172,y,l,f,c,s,w,o
173,y,l,f,b,s,w,o
174,y,a,f,c,s,w,o
175,y,l,f,r,s,w,o
176,w,l,f,c,s,w,o
177,w,a,f,c,s,w,o
178,y,a,f,c,s,w,o
179,y,l,f,c,s,w,o
180,y,l,f,c,s,w,o
181,w,p,f,e,s,w,o
182,n,n,f,e,s,w,o
183,n,n,f,e,s,w,o
184,y,a,f,c,s,w,o
185,n,a,f,r,s,w,o
186,w,p,f,e,s,w,o
187,w,l,f,c,s,w,o
188,g,n,f,e,s,w,o
189,y,l,f,c,s,w,o
190,n,a,f,r,s,w,o
191,w,n,f,e,s,w,o
192,w,l,f,b,s,w,o
193,w,l,f,c,s,w,o
194,y,a,f,b,s,w,o
195,y,a,f,c,s,w,o
196,g,n,f,e,s,w,o
197,y,a,f,c,s,w,o
198,w,l,f,c,s,w,o
199,w,l,f,c,s,w,o
200,w,a,f,b,s,w,o
201,y,l,f,c,s,w,o
202,w,l,f,c,s,w,o
203,w,a,f,c,s,w,o
204,w,n,f,e,f,w,o
205,n,l,f,r,s,w,o
206,w,p,f,e,s,w,o
207,w,a,f,c,s,w,o
208,w,a,f,c,s,w,o
209,w,l,f,c,s,w,o
210,w,a,f,c,s,w,o
211,y,a,f,c,s,w,o
212,w,l,f,c,s,w,o
213,y,a,f,b,s,w,o
214,g,n,f,e,s,w,o
215,y,a,f,r,s,w,o
216,w,l,f,c,s,w,o
217,y,a,f,c,s,w,o
218,y,a,f,c,s,w,o
219,w,l,f,c,s,w,o
220,g,n,f,e,s,w,o
221,w,a,f,c,s,w,o
222,w,p,f,e,s,w,o
223,y,a,f,r,s,w,o
224,w,a,f,b,s,w,o
225,w,l,f,c,s,w,o
226,w,l,f,c,s,w,o
227,w,a,f,c,s,w,o
228,y,a,f,c,s,w,o
229,n,p,f,e,s,w,o
230,y,a,f,c,s,w,o
231,g,n,f,e,s,w,o
232,w,p,f,e,s,w,o
233,y,l,f,r,s,w,o
234,n,n,f,e,s,w,o
235,w,l,f,c,s,w,o
236,w,l,f,b,s,w,o
237,w,l,f,c,s,w,o
238,y,l,f,c,s,w,o
239,y,l,f,r,s,w,o
240,y,a,f,r,s,w,o
241,y,a,f,r,s,w,o
242,w,l,f,c,s,w,o
243,w,a,f,c,s,w,o
244,w,p,f,e,s,w,o
245,w,a,f,b,s,w,o
246,w,l,f,c,s,w,o
247,w,l,f,b,s,w,o
248,w,a,f,c,s,w,o
249,y,l,f,r,s,w,o
250,n,n,f,e,f,w,o
251,y,a,f,r,s,w,o
252,n,p,f,e,s,w,o
253,n,n,f,e,s,w,o
254,y,l,f,c,s,w,o
255,w,l,f,c,s,w,o
256,w,l,f,c,s,w,o
257,n,n,f,e,s,w,o
258,w,a,f,c,s,w,o
259,w,l,f,c,s,w,o
260,w,a,f,c,s,w,o
261,n,l,f,r,s,w,o
262,w,p,f,e,s,w,o
263,w,a,f,c,s,w,o
264,w,a,f,c,s,w,o
265,w,l,f,b,s,w,o
266,g,n,f,e,s,w,o
267,g,n,f,e,s,w,o
268,y,a,f,c,s,w,o
269,w,a,f,c,s,w,o
270,n,p,f,e,s,w,o
271,w,l,f,c,s,w,o
272,n,p,f,e,s,w,o
273,w,l,f,c,s,w,o
274,y,a,f,c,s,w,o
275,y,a,f,r,s,w,o
276,n,a,f,r,s,w,o
277,n,a,f,r,s,w,o
278,w,a,f,c,s,w,o
279,n,n,f,e,s,w,o
280,y,l,f,c,s,w,o
281,w,p,f,e,s,w,o
282,y,a,f,c,s,w,o
283,n,n,f,e,s,w,o
284,y,l,f,c,s,w,o
285,w,l,f,c,s,w,o
286,n,a,f,r,s,w,o
287,y,a,f,c,s,w,o
288,w,a,f,c,s,w,o
289,n,l,f,r,s,w,o
290,g,n,f,e,s,w,o
291,g,n,f,e,s,w,o
292,y,l,f,c,s,w,o
293,y,l,f,c,s,w,o
294,w,l,f,c,s,w,o
295,w,a,f,c,s,w,o
296,y,a,f,c,s,w,o
297,y,a,f,c,s,w,o
298,g,n,f,e,f,w,o
299,y,a,f,b,s,w,o
300,w,p,f,e,s,w,o
301,w,n,f,e,f,w,o
302,w,a,f,c,s,w,o
303,y,l,f,b,s,w,o
304,w,a,f,c,s,w,o
305,w,l,f,c,s,w,o
306,n,n,f,b,s,w,o
307,w,l,f,c,s,w,o
308,y,l,f,c,s,w,o
309,n,a,f,r,s,w,o
310,w,n,f,e,s,w,o
311,y,l,f,c,s,w,o
312,w,p,f,e,s,w,o
313,y,l,f,c,s,w,o
314,w,a,f,b,s,w,o
315,y,a,f,c,s,w,o
316,w,p,f,e,s,w,o
317,y,a,f,b,s,w,o
318,w,a,f,c,s,w,o
319,w,l,f,b,s,w,o
320,w,l,f,b,s,w,o
321,y,l,f,c,s,w,o
322,y,a,f,b,s,w,o
323,w,a,f,c,s,w,o
324,y,a,f,c,s,w,o
325,n,l,f,r,s,w,o
326,w,l,f,c,s,w,o
327,y,a,f,c,s,w,o
328,n,p,f,e,s,w,o
329,y,l,f,c,s,w,o
330,w,a,f,c,s,w,o
331,n,p,f,e,s,w,o
332,w,l,f,c,s,w,o
333,y,l,f,c,s,w,o
334,y,a,f,c,s,w,o
335,w,l,f,c,s,w,o
336,n,n,f,b,s,w,o
337,n,a,f,r,s,w,o
338,y,l,f,c,s,w,o
339,g,n,f,e,s,w,o
340,n,l,f,r,s,w,o
341,w,a,f,c,s,w,o
342,w,a,f,c,s,w,o
343,y,a,f,c,s,w,o
344,y,a,f,b,s,w,o
345,y,l,f,c,s,w,o
346,n,n,f,e,s,w,o
347,y,l,f,b,s,w,o
348,y,a,f,c,s,w,o
349,g,n,f,e,s,w,o
350,n,n,f,e,s,w,o
351,g,n,f,e,f,w,o
352,n,a,f,r,s,w,o
353,w,a,f,c,s,w,o
354,y,a,f,c,s,w,o
355,y,l,f,r,s,w,o
356,g,n,f,e,s,w,o
357,n,a,f,r,s,w,o
358,n,p,f,e,s,w,o
359,y,a,f,r,s,w,o
360,y,a,f,c,s,w,o
361,n,n,f,e,s,w,o
362,n,n,f,e,f,w,o
363,n,n,f,e,f,w,o
364,n,a,f,r,s,w,o
365,y,a,f,c,s,w,o
366,n,n,f,e,s,w,o
367,y,a,f,r,s,w,o
368,y,a,f,b,s,w,o
369,y,a,f,c,s,w,o
370,g,n,f,e,s,w,o
371,y,a,f,r,s,w,o
372,n,l,f,r,s,w,o
373,y,a,f,c,s,w,o
374,n,n,f,e,s,w,o
375,w,a,f,c,s,w,o
376,w,l,f,c,s,w,o
377,n,n,f,e,s,w,o
378,y,l,f,c,s,w,o
379,y,l,f,c,s,w,o
380,y,a,f,c,s,w,o
381,n,p,f,e,s,w,o
382,w,n,f,e,f,w,o
383,w,a,f,c,s,w,o
384,w,a,f,c,s,w,o
385,n,n,f,b,s,w,o
386,n,p,f,e,s,w,o
387,n,l,f,r,s,w,o
388,n,n,f,e,s,w,o
389,y,l,f,c,s,w,o
390,y,a,f,c,s,w,o
391,y,a,f,c,s,w,o
392,y,l,f,c,s,w,o
393,w,a,f,c,s,w,o
394,g,n,f,e,s,w,o
395,n,a,f,r,s,w,o
396,g,n,f,e,f,w,o
397,w,l,f,c,s,w,o
398,y,l,f,c,s,w,o
399,g,n,f,e,s,w,o
400,n,p,f,e,s,w,o
401,w,l,f,c,s,w,o
402,w,a,f,c,s,w,o
403,n,p,f,e,s,w,o
404,y,l,f,c,s,w,o
405,w,l,f,c,s,w,o
406,y,l,f,c,s,w,o
407,y,l,f,c,s,w,o
408,w,a,f,c,s,w,o
409,w,a,f,c,s,w,o
410,n,l,f,r,s,w,o
411,w,a,f,c,s,w,o
412,n,n,f,e,f,w,o
413,n,l,f,r,s,w,o
414,y,l,f,r,s,w,o
415,n,p,f,e,s,w,o
416,y,a,f,c,s,w,o
417,w,l,f,b,s,w,o
418,n,p,f,e,s,w,o
419,y,l,f,c,s,w,o
420,g,n,f,e,f,w,o
421,w,l,f,c,s,w,o
422,w,a,f,c,s,w,o
423,n,p,f,e,s,w,o
424,n,l,f,r,s,w,o
425,w,l,f,c,s,w,o
426,w,a,f,b,s,w,o
427,n,a,f,r,s,w,o
428,w,a,f,c,s,w,o
429,w,n,f,e,f,w,o
430,g,n,f,e,s,w,o
431,w,a,f,c,s,w,o
432,y,l,f,r,s,w,o
433,y,l,f,c,s,w,o
434,y,l,f,c,s,w,o
435,w,l,f,b,s,w,o
436,w,a,f,c,s,w,o
437,y,a,f,b,s,w,o
438,w,l,f,c,s,w,o
439,y,l,f,c,s,w,o
440,n,a,f,r,s,w,o
441,w,l,f,c,s,w,o
442,w,l,f,c,s,w,o
443,y,a,f,r,s,w,o
444,w,l,f,c,s,w,o
445,y,l,f,c,s,w,o
446,n,l,f,r,s,w,o
447,w,l,f,c,s,w,o
448,n,l,f,r,s,w,o
449,w,l,f,c,s,w,o
450,n,n,f,b,s,w,o
451,w,l,f,c,s,w,o
452,w,l,f,c,s,w,o
453,y,l,f,c,s,w,o
454,y,l,f,b,s,w,o
455,w,l,f,c,s,w,o
456,g,n,f,e,s,w,o
457,w,a,f,c,s,w,o
458,y,l,f,c,s,w,o
459,y,a,f,r,s,w,o
460,n,a,f,r,s,w,o
461,w,a,f,c,s,w,o
462,y,l,f,r,s,w,o
463,w,a,f,c,s,w,o
464,y,a,f,c,s,w,o
465,n,n,f,e,s,w,o
466,n,a,f,r,s,w,o
467,w,a,f,c,s,w,o
468,y,l,f,c,s,w,o
469,y,l,f,c,s,w,o
470,y,a,f,r,s,w,o
471,y,l,f,c,s,w,o
472,w,a,f,c,s,w,o
473,w,a,f,b,s,w,o
474,g,n,f,e,s,w,o
475,y,l,f,b,s,w,o
476,g,n,f,e,s,w,o
477,n,n,f,e,s,w,o
478,w,a,f,c,s,w,o
479,w,a,f,b,s,w,o
480,y,l,f,c,s,w,o
481,y,a,f,c,s,w,o
482,y,l,f,c,s,w,o
483,w,l,f,b,s,w,o
484,g,n,f,e,s,w,o
485,w,a,f,b,s,w,o
486,y,a,f,r,s,w,o
487,w,l,f,c,s,w,o
488,n,n,f,e,s,w,o
489,n,l,f,r,s,w,o
490,n,a,f,r,s,w,o
491,y,a,f,b,s,w,o
492,n,p,f,e,s,w,o
493,n,p,f,e,s,w,o
494,n,l,f,r,s,w,o
495,y,a,f,r,s,w,o
496,y,a,f,c,s,w,o
497,w,n,f,e,f,w,o
498,n,a,f,r,s,w,o
499,w,a,f,c,s,w,o
500,y,l,f,c,s,w,o
501,y,a,f,c,s,w,o
502,y,a,f,c,s,w,o
503,w,l,f,c,s,w,o
504,y,a,f,c,s,w,o
505,y,a,f,c,s,w,o
506,n,p,f,e,s,w,o
507,g,n,f,e,s,w,o
508,n,n,f,e,f,w,o
509,w,a,f,b,s,w,o
510,g,n,f,e,s,w,o
511,n,n,f,e,s,w,o
512,y,a,f,c,s,w,o
513,w,a,f,b,s,w,o
514,g,n,f,e,s,w,o
515,n,n,f,e,s,w,o
516,w,n,f,e,f,w,o
517,n,l,f,r,s,w,o
518,y,a,f,c,s,w,o
519,w,l,f,c,s,w,o
520,y,a,f,c,s,w,o
521,w,l,f,c,s,w,o
522,w,l,f,c,s,w,o
523,y,a,f,r,s,w,o
524,n,p,f,e,s,w,o
525,g,n,f,e,s,w,o
526,y,l,f,c,s,w,o
527,n,a,f,r,s,w,o
528,y,a,f,c,s,w,o
529,n,n,f,e,s,w,o
530,y,a,f,r,s,w,o
531,n,a,f,r,s,w,o
532,w,a,f,c,s,w,o
533,w,p,f,e,s,w,o
534,n,l,f,r,s,w,o
535,n,p,f,e,s,w,o
536,w,n,f,e,f,w,o
537,w,a,f,c,s,w,o
538,n,n,f,e,s,w,o
539,y,l,f,c,s,w,o
540,w,a,f,b,s,w,o
541,y,a,f,c,s,w,o
542,g,n,f,e,s,w,o
543,w,p,f,e,s,w,o
544,y,a,f,r,s,w,o
545,n,n,f,e,s,w,o
546,w,a,f,c,s,w,o
547,y,l,f,c,s,w,o
548,g,n,f,e,s,w,o
549,y,l,f,b,s,w,o
550,y,a,f,c,s,w,o
551,n,n,f,e,s,w,o
552,g,n,f,e,f,w,o
553,y,l,f,r,s,w,o
554,w,l,f,b,s,w,o
555,y,l,f,c,s,w,o
556,y,a,f,r,s,w,o
557,n,p,f,e,s,w,o
558,w,l,f,b,s,w,o
559,w,l,f,c,s,w,o
560,y,a,f,c,s,w,o
561,y,a,f,c,s,w,o
562,y,a,f,b,s,w,o
563,y,a,f,b,s,w,o
564,w,n,f,e,f,w,o
565,w,a,f,c,s,w,o
566,w,p,f,e,s,w,o
567,y,a,f,c,s,w,o
568,g,n,f,e,s,w,o
569,n,p,f,e,s,w,o
570,w,a,f,c,s,w,o
571,w,a,f,c,s,w,o
572,y,l,f,b,s,w,o
573,y,a,f,c,s,w,o
574,w,l,f,c,s,w,o
575,n,a,f,r,s,w,o
576,y,l,f,c,s,w,o
577,n,n,f,e,s,w,o
578,y,l,f,c,s,w,o
579,y,l,f,r,s,w,o
580,n,p,f,e,s,w,o
581,w,a,f,c,s,w,o
582,y,a,f,c,s,w,o
583,w,l,f,c,s,w,o
584,y,a,f,r,s,w,o
585,y,a,f,r,s,w,o
586,w,a,f,c,s,w,o
587,g,n,f,e,s,w,o
588,n,n,f,e,s,w,o
589,g,n,f,e,s,w,o
590,w,a,f,c,s,w,o
591,w,p,f,e,s,w,o
592,g,n,f,e,s,w,o
593,y,l,f,c,s,w,o
594,w,p,f,e,s,w,o
595,y,a,f,c,s,w,o
596,n,p,f,e,s,w,o
597,y,l,f,c,s,w,o
598,w,l,f,c,s,w,o
599,w,p,f,e,s,w,o
600,n,p,f,e,s,w,o
601,g,n,f,e,s,w,o
602,n,l,f,r,s,w,o
603,w,n,f,e,f,w,o
604,n,l,f,r,s,w,o
605,w,l,f,c,s,w,o
606,w,a,f,c,s,w,o
607,g,n,f,e,s,w,o
608,n,a,f,r,s,w,o
609,w,l,f,c,s,w,o
610,g,n,f,e,s,w,o
611,n,n,f,e,f,w,o
612,g,n,f,e,s,w,o
613,w,n,f,e,s,w,o
614,w,p,f,e,s,w,o
615,y,l,f,r,s,w,o
616,w,l,f,c,s,w,o
617,g,n,f,e,s,w,o
618,w,l,f,c,s,w,o
619,y,a,f,c,s,w,o
620,g,n,f,e,s,w,o
621,y,l,f,r,s,w,o
622,w,l,f,c,s,w,o
623,w,l,f,b,s,w,o
624,y,a,f,r,s,w,o
625,g,n,f,e,s,w,o
626,w,l,f,c,s,w,o
627,y,l,f,b,s,w,o
628,g,n,f,e,s,w,o
629,w,a,f,c,s,w,o
630,w,a,f,c,s,w,o
631,n,n,f,e,s,w,o
632,y,a,f,c,s,w,o
633,n,n,f,b,s,w,o
634,n,l,f,r,s,w,o
635,n,a,f,r,s,w,o
636,y,a,f,c,s,w,o
637,y,a,f,r,s,w,o
638,y,l,f,c,s,w,o
639,n,n,f,e,s,w,o
640,w,a,f,c,s,w,o
641,y,l,f,c,s,w,o
642,n,a,f,r,s,w,o
643,n,l,f,r,s,w,o
644,n,a,f,r,s,w,o
645,y,l,f,r,s,w,o
646,y,l,f,b,s,w,o
647,w,a,f,c,s,w,o
648,w,l,f,c,s,w,o
649,y,a,f,c,s,w,o
650,w,l,f,b,s,w,o
651,y,a,f,c,s,w,o
652,y,l,f,c,s,w,o
653,y,a,f,r,s,w,o
654,n,p,f,e,s,w,o
655,w,p,f,e,s,w,o
656,y,l,f,c,s,w,o
657,w,n,f,e,s,w,o
658,y,a,f,c,s,w,o
659,y,l,f,r,s,w,o
660,g,n,f,e,s,w,o
661,w,a,f,c,s,w,o
662,w,l,f,c,s,w,o
663,n,p,f,e,s,w,o
664,n,p,f,e,s,w,o
665,w,l,f,c,s,w,o
666,y,a,f,c,s,w,o
667,n,a,f,r,s,w,o
668,y,l,f,r,s,w,o
669,y,l,f,r,s,w,o
670,w,a,f,c,s,w,o
671,y,a,f,c,s,w,o
672,n,n,f,e,s,w,o
673,n,n,f,e,s,w,o
674,y,l,f,b,s,w,o
675,y,l,f,r,s,w,o
676,n,n,f,e,s,w,o
677,g,n,f,e,s,w,o
678,n,l,f,r,s,w,o
679,y,l,f,r,s,w,o
680,w,a,f,c,s,w,o
681,w,l,f,b,s,w,o
682,w,a,f,c,s,w,o
683,y,a,f,b,s,w,o
684,y,a,f,c,s,w,o
685,n,n,f,b,s,w,o
686,w,a,f,c,s,w,o
687,g,n,f,e,s,w,o
688,w,a,f,c,s,w,o
689,y,l,f,c,s,w,o
690,w,a,f,c,s,w,o
691,y,a,f,c,s,w,o
692,w,l,f,c,s,w,o
693,n,a,f,r,s,w,o
694,g,n,f,e,f,w,o
695,n,p,f,e,s,w,o
696,w,a,f,c,s,w,o
697,y,a,f,c,s,w,o
698,n,p,f,e,s,w,o
699,n,p,f,e,s,w,o
700,n,n,f,e,f,w,o
701,n,p,f,e,s,w,o
702,g,n,f,e,s,w,o
703,y,l,f,r,s,w,o
704,w,l,f,c,s,w,o
705,y,l,f,r,s,w,o
706,y,l,f,r,s,w,o
707,y,l,f,c,s,w,o
708,n,n,f,e,s,w,o
709,w,a,f,c,s,w,o
710,y,a,f,c,s,w,o
711,y,a,f,r,s,w,o
712,n,n,f,e,f,w,o
713,w,l,f,c,s,w,o
714,y,l,f,c,s,w,o
715,y,l,f,c,s,w,o
716,y,a,f,c,s,w,o
717,w,l,f,c,s,w,o
718,y,a,f,r,s,w,o
719,n,a,f,r,s,w,o
720,n,n,f,e,s,w,o
721,n,a,f,r,s,w,o
722,w,a,f,c,s,w,o
723,y,l,f,b,s,w,o
724,n,n,f,e,s,w,o
725,y,a,f,r,s,w,o
726,n,p,f,e,s,w,o
727,w,l,f,c,s,w,o
728,w,n,f,e,f,w,o
729,w,a,f,c,s,w,o
730,w,l,f,c,s,w,o
731,y,l,f,r,s,w,o
732,n,n,f,e,f,w,o
733,w,p,f,e,s,w,o
734,w,p,f,e,s,w,o
735,w,l,f,c,s,w,o
736,w,a,f,c,s,w,o
737,w,a,f,b,s,w,o
738,w,p,f,e,s,w,o
739,w,l,f,c,s,w,o
740,g,n,f,e,s,w,o
741,n,n,f,e,s,w,o
742,w,a,f,c,s,w,o
743,n,a,f,r,s,w,o
744,w,a,f,c,s,w,o
745,y,l,f,r,s,w,o
746,w,l,f,c,s,w,o
747,w,l,f,c,s,w,o
748,w,a,f,c,s,w,o
749,n,p,f,e,s,w,o
750,y,a,f,b,s,w,o
751,n,a,f,r,s,w,o
752,y,l,f,c,s,w,o
753,w,a,f,b,s,w,o
754,y,l,f,c,s,w,o
755,y,a,f,c,s,w,o
756,y,a,f,c,s,w,o
757,y,l,f,r,s,w,o
758,w,n,f,e,f,w,o
759,y,a,f,c,s,w,o
760,n,a,f,r,s,w,o
761,w,l,f,c,s,w,o
762,n,l,f,r,s,w,o
763,w,l,f,c,s,w,o
764,n,n,f,e,s,w,o
765,n,l,f,r,s,w,o
766,g,n,f,e,s,w,o
767,w,l,f,b,s,w,o
768,n,n,f,e,s,w,o
769,y,a,f,c,s,w,o
770,w,a,f,c,s,w,o
771,w,a,f,c,s,w,o
772,y,l,f,c,s,w,o
773,y,a,f,c,s,w,o
774,y,a,f,b,s,w,o
775,g,n,f,e,f,w,o
776,y,a,f,r,s,w,o
777,n,p,f,e,s,w,o
778,n,a,f,r,s,w,o
779,y,l,f,c,s,w,o
780,w,l,f,c,s,w,o
781,y,a,f,c,s,w,o
782,n,n,f,e,s,w,o
783,y,l,f,c,s,w,o
784,w,l,f,c,s,w,o
785,w,a,f,c,s,w,o
786,n,p,f,e,s,w,o
787,n,n,f,e,s,w,o
788,y,l,f,c,s,w,o
789,n,p,f,e,s,w,o
790,y,l,f,r,s,w,o
791,y,l,f,c,s,w,o
792,n,l,f,r,s,w,o
793,w,a,f,c,s,w,o
794,y,a,f,c,s,w,o
795,n,p,f,e,s,w,o
796,n,p,f,e,s,w,o
797,y,l,f,c,s,w,o
798,w,n,f,e,f,w,o
799,w,p,f,e,s,w,o
800,n,l,f,r,s,w,o
801,w,a,f,c,s,w,o
802,y,a,f,c,s,w,o
803,n,p,f,e,s,w,o
804,y,l,f,c,s,w,o
805,w,a,f,c,s,w,o
806,y,l,f,r,s,w,o
807,w,a,f,c,s,w,o
808,y,a,f,r,s,w,o
809,y,l,f,c,s,w,o
810,y,l,f,b,s,w,o
811,y,a,f,c,s,w,o
812,y,a,f,c,s,w,o
813,w,p,f,e,s,w,o
814,w,p,f,e,s,w,o
815,n,p,f,e,s,w,o
816,w,a,f,c,s,w,o
817,n,a,f,r,s,w,o
818,y,a,f,r,s,w,o
819,w,a,f,b,s,w,o
820,w,l,f,c,s,w,o
821,y,l,f,c,s,w,o
822,g,n,f,e,s,w,o
823,y,a,f,c,s,w,o
824,w,l,f,c,s,w,o
825,n,a,f,r,s,w,o
826,y,l,f,c,s,w,o
827,w,l,f,b,s,w,o
828,w,a,f,b,s,w,o
829,w,l,f,c,s,w,o
830,y,l,f,b,s,w,o
831,g,n,f,e,s,w,o
832,y,a,f,b,s,w,o
833,n,l,f,r,s,w,o
834,y,l,f,r,s,w,o
835,y,l,f,r,s,w,o
836,n,p,f,e,s,w,o
837,y,l,f,c,s,w,o
838,w,p,f,e,s,w,o
839,y,a,f,c,s,w,o
840,w,a,f,c,s,w,o
841,y,a,f,b,s,w,o
842,n,p,f,e,s,w,o
843,w,a,f,c,s,w,o
844,g,n,f,e,s,w,o
845,y,a,f,c,s,w,o
846,g,n,f,e,s,w,o
847,y,a,f,c,s,w,o
848,w,l,f,c,s,w,o
849,y,l,f,c,s,w,o
850,w,l,f,b,s,w,o
851,w,l,f,c,s,w,o
852,n,a,f,r,s,w,o
853,g,n,f,e,s,w,o
854,w,n,f,e,f,w,o
855,n,n,f,e,s,w,o
856,n,l,f,r,s,w,o
857,y,l,f,b,s,w,o
858,y,a,f,c,s,w,o
859,y,a,f,c,s,w,o
860,n,p,f,e,s,w,o
861,n,l,f,r,s,w,o
862,y,a,f,c,s,w,o
863,y,a,f,r,s,w,o
864,w,a,f,c,s,w,o
865,y,a,f,c,s,w,o
866,y,l,f,c,s,w,o
867,n,n,f,e,s,w,o
868,y,l,f,r,s,w,o
869,g,n,f,e,s,w,o
