id,odor,gill-attachment,gill-size,stalk-surface-above-ring,population
346,n,f,b,s,a
347,l,f,n,s,v
348,a,f,b,s,n
349,n,f,b,s,s
350,n,f,n,s,y
351,n,f,b,f,a
352,a,f,b,s,s
353,a,f,b,s,s
354,a,f,b,s,s
355,l,f,b,s,s
356,n,f,n,s,v
357,a,f,b,s,y
358,p,f,n,s,s
359,a,f,b,s,y
360,a,f,b,s,s
361,n,f,b,s,s
362,n,f,b,f,a
363,n,f,b,f,a
364,a,f,b,s,s
365,a,f,b,s,n
366,n,f,n,s,v
367,a,f,b,s,s
368,a,f,n,s,v
369,a,f,b,s,n
370,n,f,b,s,s
371,a,f,b,s,s
372,l,f,b,s,y
373,a,f,b,s,s
374,n,f,n,s,y
375,a,f,b,s,s
376,l,f,b,s,n
377,n,f,n,s,y
378,l,f,b,s,n
379,l,f,b,s,n
380,a,f,b,s,s
381,p,f,n,s,s
382,n,f,b,f,s
383,a,f,b,s,s
384,a,f,b,s,n
385,n,f,b,s,y
386,p,f,n,s,s
387,l,f,b,s,y
388,n,f,b,s,a
389,l,f,b,s,n
390,a,f,b,s,n
391,a,f,b,s,s
392,l,f,b,s,n
393,a,f,b,s,n
394,n,f,n,s,v
395,a,f,b,s,s
396,n,f,b,f,a
397,l,f,b,s,n
398,l,f,b,s,s
399,n,f,n,s,v
400,p,f,n,s,s
401,l,f,b,s,n
402,a,f,b,s,n
403,p,f,n,s,v
404,l,f,b,s,s
405,l,f,b,s,s
406,l,f,b,s,s
407,l,f,b,s,n
408,a,f,b,s,s
409,a,f,b,s,s
410,l,f,b,s,y
411,a,f,b,s,s
412,n,f,b,f,s
413,l,f,b,s,s
414,l,f,b,s,y
415,p,f,n,s,v
416,a,f,b,s,n
417,l,f,n,s,v
418,p,f,n,s,s
419,l,f,b,s,n
420,n,f,b,f,a
421,l,f,b,s,s
422,a,f,b,s,s
423,p,f,n,s,s
424,l,f,b,s,s
425,l,f,b,s,n
426,a,f,n,s,v
427,a,f,b,s,y
428,a,f,b,s,n
429,n,f,b,f,a
430,n,f,n,s,v
431,a,f,b,s,s
432,l,f,b,s,y
433,l,f,b,s,s
434,l,f,b,s,s
435,l,f,n,s,v
436,a,f,b,s,n
437,a,f,n,s,v
438,l,f,b,s,n
439,l,f,b,s,n
440,a,f,b,s,y
441,l,f,b,s,s
442,l,f,b,s,s
443,a,f,b,s,y
444,l,f,b,s,n
445,l,f,b,s,n
446,l,f,b,s,s
447,l,f,b,s,n
448,l,f,b,s,s
449,l,f,b,s,s
450,n,f,b,s,y
451,l,f,b,s,s
452,l,f,b,s,n
453,l,f,b,s,n
454,l,f,n,s,v
455,l,f,b,s,n
456,n,f,b,s,a
457,a,f,b,s,n
458,l,f,b,s,s
459,a,f,b,s,y
460,a,f,b,s,y
461,a,f,b,s,s
462,l,f,b,s,s
463,a,f,b,s,s
464,a,f,b,s,n
465,n,f,n,s,v
466,a,f,b,s,y
467,a,f,b,s,n
468,l,f,b,s,n
469,l,f,b,s,n
470,a,f,b,s,s
471,l,f,b,s,n
472,a,f,b,s,n
473,a,f,n,s,v
474,n,f,n,s,y
475,l,f,n,s,v
476,n,f,n,s,y
477,n,f,n,s,y
478,a,f,b,s,n
479,a,f,n,s,v
480,l,f,b,s,s
481,a,f,b,s,s
482,l,f,b,s,s
483,l,f,n,s,v
484,n,f,n,s,y
485,a,f,n,s,v
486,a,f,b,s,y
487,l,f,b,s,s
488,n,f,n,s,y
489,l,f,b,s,s
490,a,f,b,s,s
491,a,f,n,s,v
492,p,f,n,s,s
493,p,f,n,s,v
494,l,f,b,s,s
495,a,f,b,s,s
496,a,f,b,s,n
497,n,f,b,f,a
498,a,f,b,s,s
499,a,f,b,s,s
500,l,f,b,s,n
501,a,f,b,s,n
502,a,f,b,s,n
503,l,f,b,s,n
504,a,f,b,s,s
505,a,f,b,s,s
506,p,f,n,s,v
507,n,f,b,s,s
508,n,f,b,f,a
509,a,f,n,s,v
510,n,f,n,s,v
511,n,f,n,s,y
512,a,f,b,s,s
513,a,f,n,s,v
514,n,f,n,s,v
515,n,f,n,s,v
516,n,f,b,f,a
517,l,f,b,s,y
518,a,f,b,s,n
519,l,f,b,s,s
520,a,f,b,s,n
521,l,f,b,s,n
522,l,f,b,s,s
523,a,f,b,s,y
524,p,f,n,s,s
525,n,f,n,s,y
526,l,f,b,s,s
527,a,f,b,s,s
528,a,f,b,s,s
529,n,f,n,s,y
530,a,f,b,s,y
531,a,f,b,s,y
532,a,f,b,s,s
533,p,f,n,s,s
534,l,f,b,s,y
535,p,f,n,s,s
536,n,f,b,f,s
537,a,f,b,s,s
538,n,f,n,s,v
539,l,f,b,s,s
540,a,f,n,s,v
541,a,f,b,s,s
542,n,f,b,s,s
543,p,f,n,s,s
544,a,f,b,s,s
545,n,f,b,s,a
546,a,f,b,s,s
547,l,f,b,s,s
548,n,f,n,s,v
549,l,f,n,s,v
550,a,f,b,s,n
551,n,f,n,s,y
552,n,f,b,f,s
553,l,f,b,s,s
554,l,f,n,s,v
555,l,f,b,s,s
556,a,f,b,s,y
557,p,f,n,s,v
558,l,f,n,s,v
559,l,f,b,s,n
560,a,f,b,s,n
561,a,f,b,s,s
562,a,f,n,s,v
563,a,f,n,s,v
564,n,f,b,f,s
565,a,f,b,s,s
566,p,f,n,s,v
567,a,f,b,s,n
568,n,f,b,s,s
569,p,f,n,s,s
570,a,f,b,s,n
571,a,f,b,s,n
572,l,f,n,s,v
573,a,f,b,s,n
574,l,f,b,s,n
575,a,f,b,s,y
576,l,f,b,s,s
577,n,f,n,s,v
578,l,f,b,s,s
579,l,f,b,s,y
580,p,f,n,s,s
581,a,f,b,s,n
582,a,f,b,s,s
583,l,f,b,s,n
584,a,f,b,s,y
585,a,f,b,s,s
586,a,f,b,s,s
587,n,f,n,s,v
588,n,f,n,s,y
589,n,f,n,s,v
590,a,f,b,s,n
591,p,f,n,s,s
592,n,f,b,s,s
593,l,f,b,s,s
594,p,f,n,s,s
595,a,f,b,s,n
596,p,f,n,s,v
597,l,f,b,s,n
598,l,f,b,s,s
599,p,f,n,s,s
600,p,f,n,s,s
601,n,f,b,s,a
602,l,f,b,s,y
603,n,f,b,f,a
604,l,f,b,s,s
605,l,f,b,s,s
606,a,f,b,s,n
607,n,f,b,s,s
608,a,f,b,s,y
609,l,f,b,s,s
610,n,f,n,s,v
611,n,f,b,f,a
612,n,f,b,s,s
613,n,f,b,s,a
614,p,f,n,s,s
615,l,f,b,s,s
616,l,f,b,s,s
617,n,f,b,s,a
618,l,f,b,s,s
619,a,f,b,s,n
620,n,f,n,s,y
621,l,f,b,s,s
622,l,f,b,s,n
623,l,f,n,s,v
624,a,f,b,s,s
625,n,f,n,s,y
626,l,f,b,s,s
627,l,f,n,s,v
628,n,f,n,s,y
629,a,f,b,s,s
630,a,f,b,s,n
631,n,f,b,s,s
632,a,f,b,s,n
633,n,f,b,s,v
634,l,f,b,s,s
635,a,f,b,s,s
636,a,f,b,s,s
637,a,f,b,s,s
638,l,f,b,s,n
639,n,f,b,s,s
640,a,f,b,s,s
641,l,f,b,s,n
642,a,f,b,s,y
643,l,f,b,s,s
644,a,f,b,s,y
645,l,f,b,s,s
646,l,f,n,s,v
647,a,f,b,s,s
648,l,f,b,s,n
649,a,f,b,s,s
650,l,f,n,s,v
651,a,f,b,s,s
652,l,f,b,s,n
653,a,f,b,s,y
654,p,f,n,s,s
655,p,f,n,s,v
656,l,f,b,s,s
657,n,f,b,s,s
658,a,f,b,s,n
659,l,f,b,s,y
660,n,f,n,s,y
661,a,f,b,s,s
662,l,f,b,s,s
663,p,f,n,s,s
664,p,f,n,s,s
665,l,f,b,s,s
666,a,f,b,s,n
667,a,f,b,s,s
668,l,f,b,s,y
669,l,f,b,s,y
670,a,f,b,s,n
671,a,f,b,s,s
672,n,f,n,s,v
673,n,f,b,s,a
674,l,f,n,s,v
675,l,f,b,s,s
676,n,f,n,s,y
677,n,f,n,s,v
678,l,f,b,s,y
679,l,f,b,s,y
680,a,f,b,s,s
681,l,f,n,s,v
682,a,f,b,s,n
683,a,f,n,s,v
684,a,f,b,s,n
685,n,f,b,s,v
686,a,f,b,s,n
687,n,f,n,s,v
688,a,f,b,s,s
689,l,f,b,s,n
690,a,f,b,s,s
691,a,f,b,s,s
692,l,f,b,s,s
693,a,f,b,s,s
694,n,f,b,f,a
695,p,f,n,s,s
696,a,f,b,s,s
697,a,f,b,s,s
698,p,f,n,s,v
699,p,f,n,s,v
700,n,f,b,f,a
701,p,f,n,s,s
702,n,f,b,s,a
703,l,f,b,s,s
704,l,f,b,s,n
705,l,f,b,s,s
706,l,f,b,s,y
707,l,f,b,s,n
708,n,f,n,s,y
709,a,f,b,s,n
710,a,f,b,s,n
711,a,f,b,s,s
712,n,f,b,f,a
713,l,f,b,s,s
714,l,f,b,s,n
715,l,f,b,s,s
716,a,f,b,s,s
717,l,f,b,s,s
718,a,f,b,s,s
719,a,f,b,s,s
720,n,f,n,s,v
721,a,f,b,s,s
722,a,f,b,s,n
723,l,f,n,s,v
724,n,f,b,s,a
725,a,f,b,s,s
726,p,f,n,s,v
727,l,f,b,s,n
728,n,f,b,f,s
729,a,f,b,s,s
730,l,f,b,s,s
731,l,f,b,s,y
732,n,f,b,f,s
733,p,f,n,s,s
734,p,f,n,s,s
735,l,f,b,s,n
736,a,f,b,s,s
737,a,f,n,s,v
738,p,f,n,s,s
739,l,f,b,s,s
740,n,f,n,s,v
741,n,f,n,s,v
742,a,f,b,s,s
743,a,f,b,s,s
744,a,f,b,s,n
745,l,f,b,s,s
746,l,f,b,s,n
747,l,f,b,s,s
748,a,f,b,s,s
749,p,f,n,s,v
750,a,f,n,s,v
751,a,f,b,s,s
752,l,f,b,s,n
753,a,f,n,s,v
754,l,f,b,s,s
755,a,f,b,s,n
756,a,f,b,s,n
757,l,f,b,s,y
758,n,f,b,f,a
759,a,f,b,s,n
760,a,f,b,s,y
761,l,f,b,s,n
762,l,f,b,s,y
763,l,f,b,s,n
764,n,f,n,s,v
765,l,f,b,s,s
766,n,f,b,s,a
767,l,f,n,s,v
768,n,f,n,s,y
769,a,f,b,s,s
770,a,f,b,s,n
771,a,f,b,s,n
772,l,f,b,s,s
773,a,f,b,s,n
774,a,f,n,s,v
775,n,f,b,f,a
776,a,f,b,s,s
777,p,f,n,s,s
778,a,f,b,s,y
779,l,f,b,s,n
780,l,f,b,s,n
781,a,f,b,s,s
782,n,f,n,s,y
783,l,f,b,s,s
784,l,f,b,s,s
785,a,f,b,s,n
786,p,f,n,s,v
787,n,f,n,s,v
788,l,f,b,s,n
789,p,f,n,s,s
790,l,f,b,s,y
791,l,f,b,s,s
792,l,f,b,s,y
793,a,f,b,s,n
794,a,f,b,s,n
795,p,f,n,s,v
796,p,f,n,s,s
797,l,f,b,s,n
798,n,f,b,f,s
799,p,f,n,s,v
800,l,f,b,s,s
801,a,f,b,s,n
802,a,f,b,s,n
803,p,f,n,s,v
804,l,f,b,s,n
805,a,f,b,s,n
806,l,f,b,s,s
807,a,f,b,s,s
808,a,f,b,s,y
809,l,f,b,s,s
810,l,f,n,s,v
811,a,f,b,s,n
812,a,f,b,s,n
813,p,f,n,s,v
814,p,f,n,s,v
815,p,f,n,s,v
816,a,f,b,s,s
817,a,f,b,s,y
818,a,f,b,s,y
819,a,f,n,s,v
820,l,f,b,s,n
821,l,f,b,s,n
822,n,f,n,s,v
823,a,f,b,s,s
824,l,f,b,s,s
825,a,f,b,s,s
826,l,f,b,s,s
827,l,f,n,s,v
828,a,f,n,s,v
829,l,f,b,s,s
830,l,f,n,s,v
831,n,f,n,s,v
832,a,f,n,s,v
833,l,f,b,s,y
834,l,f,b,s,s
835,l,f,b,s,y
836,p,f,n,s,v
837,l,f,b,s,s
838,p,f,n,s,s
839,a,f,b,s,s
840,a,f,b,s,s
841,a,f,n,s,v
842,p,f,n,s,v
843,a,f,b,s,s
844,n,f,n,s,y
845,a,f,b,s,n
846,n,f,b,s,s
847,a,f,b,s,s
848,l,f,b,s,s
849,l,f,b,s,n
850,l,f,n,s,v
851,l,f,b,s,s
852,a,f,b,s,s
853,n,f,n,s,y
854,n,f,b,f,a
855,n,f,n,s,v
856,l,f,b,s,s
857,l,f,n,s,v
858,a,f,b,s,s
859,a,f,b,s,n
860,p,f,n,s,v
861,l,f,b,s,y
862,a,f,b,s,s
863,a,f,b,s,s
864,a,f,b,s,n
865,a,f,b,s,s
866,l,f,b,s,s
867,n,f,n,s,v
868,l,f,b,s,y
869,n,f,n,s,y
870,l,f,b,s,n
871,a,f,b,s,y
872,l,f,b,s,n
873,a,f,b,s,s
874,n,f,b,s,v
875,a,f,b,s,s
876,l,f,b,s,s
877,a,f,b,s,n
878,l,f,b,s,n
879,l,f,b,s,y
880,l,f,b,s,n
881,a,f,n,s,v
882,n,f,b,s,s
883,a,f,b,s,n
884,l,f,b,s,n
885,l,f,b,s,s
886,a,f,n,s,v
887,a,f,b,s,s
888,a,f,b,s,y
889,a,f,b,s,y
890,l,f,b,s,n
891,n,f,b,s,y
892,l,f,b,s,y
893,a,f,b,s,n
894,a,f,b,s,s
895,l,f,b,s,s
896,l,f,b,s,s
897,a,f,b,s,n
898,l,f,b,s,n
899,l,f,b,s,s
900,l,f,b,s,s
901,l,f,b,s,y
902,n,f,b,f,a
903,n,f,b,f,s
904,n,f,b,f,s
905,l,f,b,s,n
906,n,f,b,f,s
907,p,f,n,s,s
908,n,f,b,f,s
909,p,f,n,s,v
910,p,f,n,s,v
911,l,f,b,s,n
912,n,f,b,f,a
913,l,f,b,s,n
914,n,f,b,s,a
915,n,f,b,s,s
916,a,f,b,s,n
917,l,f,b,s,s
918,n,f,b,s,y
919,n,f,b,f,a
920,n,f,b,s,s
921,n,f,b,f,a
922,n,f,b,f,a
923,l,f,b,s,n
924,l,f,n,s,v
925,n,f,b,f,s
926,n,f,b,f,a
927,n,f,b,f,a
928,p,f,n,s,s
929,n,f,n,s,y
930,a,f,b,s,n
931,n,f,b,s,a
932,n,f,b,s,s
933,p,f,n,s,v
934,l,f,b,s,s
935,n,f,n,s,y
936,n,f,b,s,s
937,a,f,b,s,n
938,n,f,b,s,s
939,n,f,b,f,a
940,n,f,b,s,y
941,a,f,b,s,n
942,n,f,b,f,s
943,p,f,n,s,s
944,n,f,b,s,s
945,n,f,b,s,v
946,n,f,b,f,a
947,n,f,b,f,s
948,l,f,b,s,s
949,n,f,b,f,a
950,p,f,n,s,v
951,p,f,n,s,s
952,l,f,b,s,s
953,n,f,b,s,a
954,n,f,b,s,a
955,n,f,b,f,s
956,l,f,b,s,s
957,p,f,n,s,v
958,n,f,b,s,v
959,l,f,n,s,v
960,l,f,b,s,n
961,n,f,b,f,a
962,n,f,b,f,a
963,n,f,b,s,v
964,n,f,b,s,y
965,n,f,b,f,s
966,n,f,b,s,s
967,p,f,n,s,s
968,n,f,b,s,y
969,n,f,b,f,s
970,n,f,b,s,s
971,n,f,b,f,s
972,n,f,b,s,v
973,n,f,b,s,v
974,n,f,b,s,s
975,n,f,b,s,y
976,n,f,b,f,s
977,l,f,b,s,n
978,n,f,b,s,y
979,l,f,b,s,s
980,n,f,b,f,a
981,n,f,b,s,y
982,l,f,b,s,s
983,n,f,b,s,s
984,n,f,b,s,s
985,p,f,n,s,s
986,n,f,b,f,s
987,n,f,b,f,a
988,n,f,b,s,a
989,n,f,b,s,a
990,l,f,b,s,n
991,l,f,b,s,n
992,n,f,b,s,a
993,n,f,b,f,s
994,n,f,n,s,v
995,n,f,b,s,s
996,n,f,b,f,a
997,l,f,b,s,s
998,a,f,n,s,v
999,l,f,b,s,n
1000,p,f,n,s,v
1001,n,f,b,s,y
1002,l,f,b,s,y
1003,n,f,b,s,s
1004,p,f,n,s,v
1005,l,f,b,s,y
1006,n,f,b,s,a
1007,n,f,b,f,a
1008,n,f,b,f,s
1009,n,f,b,s,a
1010,l,f,b,s,s
1011,a,f,b,s,s
1012,n,f,b,s,s
1013,a,f,b,s,s
1014,n,f,b,s,s
1015,n,f,b,f,s
1016,a,f,n,s,v
1017,l,f,b,s,s
1018,n,f,b,s,y
1019,p,f,n,s,s
1020,n,f,b,s,v
1021,n,f,b,f,a
1022,a,f,b,s,n
1023,a,f,b,s,n
1024,a,f,b,s,s
1025,p,f,n,s,v
1026,p,f,n,s,s
1027,n,f,n,s,v
1028,l,f,n,s,v
1029,l,f,b,s,n
1030,n,f,b,s,a
1031,n,f,b,s,y
1032,p,f,n,s,v
1033,n,f,b,s,s
1034,n,f,b,s,s
1035,n,f,b,s,s
1036,n,f,b,f,a
1037,a,f,b,s,s
1038,a,f,n,s,v
1039,n,f,n,s,y
1040,p,f,n,s,s
1041,a,f,b,s,y
1042,a,f,b,s,s
1043,n,f,b,s,a
1044,n,f,b,s,v
1045,n,f,b,f,a
1046,a,f,b,s,s
1047,n,f,b,s,s
1048,p,f,n,s,s
1049,n,f,b,s,v
1050,n,f,b,f,a
1051,n,f,b,s,v
1052,n,f,b,s,y
1053,n,f,b,s,a
1054,l,f,b,s,s
1055,n,f,b,f,s
1056,l,f,b,s,s
1057,l,f,n,s,v
1058,n,f,b,s,s
1059,l,f,b,s,n
1060,n,f,b,s,s
1061,n,f,b,s,a
1062,l,f,n,s,v
1063,n,f,b,f,s
1064,n,f,b,f,s
1065,p,f,n,s,s
1066,l,f,n,s,v
1067,a,f,b,s,s
1068,n,f,b,f,a
1069,n,f,b,s,v
1070,l,f,b,s,s
1071,n,f,b,s,a
1072,p,f,n,s,v
1073,a,f,b,s,s
1074,n,f,b,s,y
1075,l,f,b,s,s
1076,n,f,b,f,a
1077,n,f,n,s,y
1078,p,f,n,s,v
1079,n,f,b,f,s
1080,l,f,b,s,s
1081,n,f,b,s,a
1082,p,f,n,s,v
1083,l,f,b,s,n
1084,n,f,b,f,s
1085,l,f,b,s,n
1086,n,f,b,s,s
1087,l,f,b,s,n
1088,l,f,b,s,n
1089,p,f,n,s,v
1090,l,f,b,s,s
1091,n,f,n,s,y
1092,a,f,b,s,y
1093,n,f,b,s,a
1094,l,f,n,s,v
1095,n,f,b,f,a
1096,p,f,n,s,v
1097,n,f,b,s,a
1098,n,f,b,f,a
1099,n,f,b,f,s
1100,p,f,n,s,s
1101,n,f,b,f,a
1102,n,f,b,f,s
1103,n,f,b,s,s
1104,p,f,n,s,s
1105,n,f,b,s,a
1106,n,f,b,f,a
1107,p,f,n,s,v
1108,n,f,b,s,a
1109,l,f,b,s,n
1110,n,f,b,f,a
1111,n,f,b,f,a
1112,p,f,n,s,s
1113,a,f,b,s,s
1114,n,f,b,f,a
1115,l,f,b,s,s
1116,n,f,b,s,s
1117,n,f,b,f,s
1118,n,f,b,f,s
1119,n,f,b,f,s
1120,n,f,b,s,s
1121,n,f,b,f,s
1122,n,f,b,s,a
1123,n,f,b,f,s
1124,n,f,b,s,v
1125,a,f,n,s,v
1126,n,f,b,s,s
1127,n,f,b,s,a
1128,a,f,b,s,n
1129,n,f,b,s,a
1130,n,f,b,s,a
1131,p,f,n,s,v
1132,n,f,b,f,a
1133,p,f,n,s,s
1134,n,f,b,f,s
1135,a,f,b,s,n
1136,n,f,b,s,s
1137,n,f,b,s,y
1138,l,f,b,s,s
1139,n,f,b,s,a
1140,n,f,b,f,a
1141,n,f,b,s,a
1142,n,f,b,s,v
1143,n,f,b,s,s
1144,n,f,b,s,a
1145,n,f,b,f,a
1146,n,f,b,f,s
1147,n,f,b,f,s
1148,n,f,b,s,a
1149,n,f,b,f,a
